hour,load
0,152.68
1,110.92
2,130.48
3,96.08
4,69.87
5,53.25
6,141.27
7,38.29
8,101.17
9,55.77
10,94.25
11,128.56
12,63.13
13,80.4
14,100.26
15,45.6
16,12.16
17,48.58
18,72.43
19,157.8
20,88.84
21,182.21
22,200.0
23,74.76
24,100.33
25,72.0
26,112.95
27,128.38
28,190.4
29,108.73
30,161.89
31,125.9
32,188.77
33,183.93
34,187.77
35,140.44
36,168.21
37,176.49
38,102.98
39,71.91
40,88.6
41,190.36
42,146.77
43,150.35
44,146.41
45,128.7
46,53.73
47,124.73
48,95.18
49,43.93
50,41.04
51,19.84
52,14.45
53,59.34
54,103.56
55,124.13
56,90.91
57,35.94
58,165.92
59,17.03
60,11.68
61,118.04
62,170.97
63,13.79
64,144.64
65,165.36
66,127.98
67,7.36
68,14.6
69,199.16
70,13.32
71,37.93
72,33.7
73,24.4
74,52.48
75,124.64
76,75.58
77,133.22
78,118.16
79,96.02
80,1.59
81,2.58
82,69.2
83,132.8
84,33.76
85,94.52
86,38.91
87,158.12
88,121.34
89,91.24
90,154.32
91,190.88
92,37.39
93,78.75
94,109.62
95,88.09
96,83.26
97,31.69
98,141.86
99,78.21
100,15.05
101,22.97
102,150.18
103,9.35
104,198.25
105,76.85
106,103.24
107,36.68
108,111.7
109,52.0
110,135.63
111,196.55
112,88.06
113,101.79
114,191.78
115,145.4
116,164.4
117,73.13
118,152.2
119,75.91
120,54.64
121,29.59
122,184.07
123,80.74
124,72.74
125,81.84
126,95.66
127,56.34
128,35.51
129,133.13
130,173.16
131,76.45
132,58.64
133,8.76
134,50.95
135,45.01
136,45.65
137,108.77
138,36.21
139,169.1
140,43.33
141,19.24
142,147.89
143,122.0
144,62.17
145,119.09
146,155.04
147,95.25
148,185.12
149,22.6
150,171.09
151,67.11
152,61.1
153,147.42
154,115.26
155,117.36
156,96.06
157,31.53
158,18.72
159,135.8
160,138.74
161,71.61
162,163.82
163,167.3
164,140.94
165,139.32
166,47.88
167,187.18
168,27.1
169,198.38
170,161.16
171,199.38
172,60.75
173,73.87
174,99.18
175,186.8
176,193.5
177,144.83
178,16.85
179,15.53
180,39.86
181,117.24
182,39.41
183,95.86
184,79.96
185,35.29
186,49.49
187,119.15
188,151.2
189,134.64
190,125.6
191,91.63
192,89.5
193,54.27
194,168.76
195,83.67
196,54.05
197,98.14
198,92.22
199,116.52
200,129.59
201,149.74
202,30.48
203,139.27
204,107.42
205,46.26
206,166.3
207,18.04
208,91.64
209,185.47
210,156.44
211,167.9
212,175.2
213,64.54
214,165.77
215,92.9
216,170.93
217,57.53
218,163.67
219,170.57
220,195.47
221,131.09
222,96.88
223,14.36
224,190.76
225,192.86
226,135.07
227,180.47
228,98.7
229,150.57
230,2.62
231,179.44
232,102.99
233,135.28
234,73.59
235,57.28
236,166.55
237,164.71
238,154.42
239,143.46
240,100.82
241,118.59
242,199.12
243,166.29
244,36.53
245,103.16
246,22.92
247,65.77
248,46.34
249,75.26
250,23.92
