cfips,ba,county,state,latitude,longitude,wkt,geometry
48011,p48,armstrong,TX,34.9658,-101.3572,POINT (-101.3572 34.9658),POINT (-487559.33300027536 -433382.1510772133)
48017,p48,bailey,TX,34.0706,-102.8295,POINT (-102.8295 34.0706),POINT (-628759.1301314662 -523459.53543481464)
48065,p48,carson,TX,35.3997,-101.3546,POINT (-101.3546 35.3997),POINT (-484498.4021791118 -385340.3698926464)
48069,p48,castro,TX,34.5304,-102.2618,POINT (-102.2618 34.5304),POINT (-573080.6405216663 -476326.4057089585)
48079,p48,cochran,TX,33.6054,-102.8284,POINT (-102.8284 33.6054),POINT (-632517.593218846 -574922.3623689888)
48087,p48,collingsworth,TX,34.9674,-100.2701,POINT (-100.2701 34.9674),POINT (-388695.33623681596 -438427.04808452557)
48111,p48,dallam,TX,36.2673,-102.6022,POINT (-102.6022 36.2673),POINT (-590243.6735213058 -281928.60687282356)
48117,p48,deaf smith,TX,34.9635,-102.6051,POINT (-102.6051 34.9635),POINT (-600969.5757906319 -426189.94559895975)
48129,p48,donley,TX,34.9669,-100.8141,POINT (-100.8141 34.9669),POINT (-438173.73233012395 -436016.50064579665)
48153,p48,floyd,TX,34.069,-101.303,POINT (-101.303 34.069),POINT (-488413.2047382038 -532985.9015483654)
48165,p48,gaines,TX,32.7355,-102.6352,POINT (-102.6352 32.7355),POINT (-621665.934991544 -672466.541622611)
48169,p48,garza,TX,33.1798,-101.298,POINT (-101.298 33.1798),POINT (-493678.7835676669 -631472.4279415646)
48179,p48,gray,TX,35.3987,-100.8124,POINT (-100.8124 35.3987),POINT (-435492.5823748738 -388185.7268811632)
48189,p48,hale,TX,34.068,-101.8263,POINT (-101.8263 34.068),POINT (-536554.359478465 -530156.2563228315)
48195,p48,hansford,TX,36.2744,-101.3546,POINT (-101.3546 36.2744),POINT (-478803.5861185591 -288454.22735387244)
48205,p48,hartley,TX,35.852,-102.602,POINT (-102.602 35.852),POINT (-593558.5243348998 -327891.00170308334)
48211,p48,hemphill,TX,35.8244,-100.2707,POINT (-100.2707 35.8244),POINT (-384299.2553911699 -343446.3030109238)
48219,p48,hockley,TX,33.6124,-102.3431,POINT (-102.3431 33.6124),POINT (-587585.3019577853 -577393.9502235617)
48233,p48,hutchinson,TX,35.8101,-101.3545,POINT (-101.3545 35.8101),POINT (-481817.5763767106 -339884.6656697622)
48279,p48,lamb,TX,34.0888,-102.3518,POINT (-102.3518 34.0888),POINT (-584712.898137306 -524623.9479638865)
48295,p48,lipscomb,TX,36.3128,-100.2732,POINT (-100.2732 36.3128),POINT (-381985.93275467504 -289302.21403231955)
48303,p48,lubbock,TX,33.6145,-101.8206,POINT (-101.8206 33.6145),POINT (-539237.9122198734 -580389.2249792194)
48305,p48,lynn,TX,33.179,-101.8167,POINT (-101.8167 33.179),POINT (-541955.4324382504 -628616.0334933085)
48341,p48,moore,TX,35.8374,-101.8929,POINT (-101.8929 35.8374),POINT (-530004.9082474402 -333874.8735185993)
48357,p48,ochiltree,TX,36.2819,-100.8158,POINT (-100.8158 36.2819),POINT (-430627.9818239503 -290309.59977678204)
48359,p48,oldham,TX,35.4003,-102.6039,POINT (-102.6039 35.4003),POINT (-597354.8292116678 -377864.52839282714)
48369,p48,parmer,TX,34.5279,-102.7843,POINT (-102.7843 34.5279),POINT (-620835.598339459 -473183.13635803363)
48375,p48,potter,TX,35.3994,-101.8943,POINT (-101.8943 35.3994),POINT (-533269.2534442596 -382362.35742737015)
48381,p48,randall,TX,34.9643,-101.8967,POINT (-101.8967 34.9643),POINT (-536604.7443769439 -430519.0998827252)
48393,p48,roberts,TX,35.8244,-100.8135,POINT (-100.8135 35.8244),POINT (-433100.41275734385 -341013.9888161557)
48421,p48,sherman,TX,36.2705,-101.8934,POINT (-101.8934 36.2705),POINT (-526946.6638721107 -285915.3843211785)
48437,p48,swisher,TX,34.535,-101.7351,POINT (-101.7351 34.535),POINT (-524911.4548922146 -478987.6810332531)
48445,p48,terry,TX,33.1754,-102.3353,POINT (-102.3353 33.1754),POINT (-590227.8397149653 -625795.6090778122)
48483,p48,wheeler,TX,35.4067,-100.2697,POINT (-100.2697 35.4067),POINT (-386378.14963470143 -389744.42557522206)
48501,p48,yoakum,TX,33.1614,-102.828,POINT (-102.828 33.1614),POINT (-636163.7434422794 -624031.8531372503)
48037,p57,bowie,TX,33.4761,-94.3949,POINT (-94.3949 33.4761),POINT (149065.14821301357 -611640.4616602224)
48063,p57,camp,TX,32.99,-94.9935,POINT (-94.9935 32.99),POINT (94071.32785108442 -666345.7978286381)
48067,p57,cass,TX,33.101,-94.3483,POINT (-94.3483 33.101),POINT (154145.68226614306 -653158.5666994741)
48183,p57,gregg,TX,32.509,-94.8444,POINT (-94.8444 32.509),POINT (108681.86109296561 -719519.1277206925)
48203,p57,harrison,TX,32.5634,-94.3724,POINT (-94.3724 32.5634),POINT (152960.64791327232 -712810.0351867243)
48315,p57,marion,TX,32.7826,-94.3622,POINT (-94.3622 32.7826),POINT (153482.65460517968 -688487.8481925603)
48343,p57,morris,TX,33.1234,-94.7341,POINT (-94.7341 33.1234),POINT (118108.99009820061 -651250.3962322931)
48365,p57,panola,TX,32.1837,-94.3114,POINT (-94.3114 32.1837),POINT (159472.22410195714 -754804.7884119583)
48449,p57,titus,TX,33.19,-94.9689,POINT (-94.9689 33.19),POINT (96119.67317780317 -644140.3141240296)
48459,p57,upshur,TX,32.7068,-94.9274,POINT (-94.9274 32.7068),POINT (100618.32796239732 -697680.5198409709)
48141,p59,el paso,TX,31.6952,-106.1718,POINT (-106.1718 31.6952),POINT (-964721.5458057785 -756597.9143199826)
48023,p60,baylor,TX,33.616,-99.2137,POINT (-99.2137 33.616),POINT (-297861.40951817937 -592186.9840751059)
48033,p60,borden,TX,32.7474,-101.4322,POINT (-101.4322 32.7474),POINT (-509023.7314700366 -678606.5904826536)
48045,p60,briscoe,TX,34.535,-101.2086,POINT (-101.2086 34.535),POINT (-476777.9502315398 -481878.81014409877)
48075,p60,childress,TX,34.5307,-100.2067,POINT (-100.2067 34.5307),POINT (-385161.9910384755 -487089.3759782462)
48101,p60,cottle,TX,34.0712,-100.2829,POINT (-100.2829 34.0712),POINT (-394526.3841131001 -537679.8489866683)
48107,p60,crosby,TX,33.6161,-101.3,POINT (-101.3 33.6161),POINT (-491054.6426757535 -583152.5817393793)
48115,p60,dawson,TX,32.737,-101.9478,POINT (-101.9478 32.737),POINT (-557347.6613114502 -676743.4822930079)
48125,p60,dickens,TX,33.6166,-100.7789,POINT (-100.7789 33.6166),POINT (-442817.4413819454 -585764.9910265799)
48151,p60,fisher,TX,32.7425,-100.4024,POINT (-100.4024 32.7425),POINT (-412636.330261216 -684352.4974531175)
48155,p60,foard,TX,33.9777,-99.7617,POINT (-99.7617 33.9777),POINT (-346971.8662801299 -550159.701020788)
48191,p60,hall,TX,34.534,-100.6806,POINT (-100.6806 34.534),POINT (-428497.0249870055 -484609.89503996406)
48197,p60,hardeman,TX,34.315,-99.7365,POINT (-99.7365 34.315),POINT (-343116.4170618457 -512871.6166031345)
48207,p60,haskell,TX,33.1786,-99.7307,POINT (-99.7307 33.1786),POINT (-347738.4523353493 -638834.9819160172)
48227,p60,howard,TX,32.2992,-101.4356,POINT (-101.4356 32.2992),POINT (-512302.3882604303 -728203.0012694121)
48253,p60,jones,TX,32.7392,-99.8789,POINT (-99.8789 32.7392),POINT (-363615.8086470306 -686945.7909969426)
48263,p60,kent,TX,33.1797,-100.7781,POINT (-100.7781 33.1797),POINT (-445280.75792222144 -634159.6828767051)
48269,p60,king,TX,33.6116,-100.2558,POINT (-100.2558 33.6116),POINT (-394409.7236410256 -588719.7923271246)
48275,p60,knox,TX,33.6159,-99.7337,POINT (-99.7337 33.6159),POINT (-346033.0010063022 -590362.5604578402)
48335,p60,mitchell,TX,32.2991,-100.9214,POINT (-100.9214 32.2991),POINT (-463889.36758707074 -730965.8568739418)
48345,p60,motley,TX,34.0728,-100.7798,POINT (-100.7798 34.0728),POINT (-440250.2017001787 -535228.65297868)
48353,p60,nolan,TX,32.3092,-100.4063,POINT (-100.4063 32.3092),POINT (-415322.0523950288 -732330.0340514665)
48415,p60,scurry,TX,32.7541,-100.9166,POINT (-100.9166 32.7541),POINT (-460718.6731891392 -680605.8433154671)
48433,p60,stonewall,TX,33.1802,-100.2535,POINT (-100.2535 33.1802),POINT (-396427.302609569 -636524.9317437253)
48487,p60,wilbarger,TX,34.1523,-99.2142,POINT (-99.2142 34.1523),POINT (-295811.7208220993 -532735.8119784321)
48043,p61,brewster,TX,29.8231,-103.0823,POINT (-103.0823 29.8231),POINT (-688523.8477880476 -991254.6268635306)
48059,p61,callahan,TX,32.2983,-99.3739,POINT (-99.3739 32.2983),POINT (-318107.5429823351 -737688.6877131436)
48081,p61,coke,TX,31.8934,-100.5296,POINT (-100.5296 31.8934),POINT (-429223.3102508053 -777811.3337528412)
48083,p61,coleman,TX,31.7432,-99.4612,POINT (-99.4612 31.7432),POINT (-328669.97706884815 -798889.3580473001)
48095,p61,concho,TX,31.3218,-99.8577,POINT (-99.8577 31.3218),POINT (-368275.3961665654 -844061.2561326271)
48105,p61,crockett,TX,30.6879,-101.3732,POINT (-101.3732 30.6879),POINT (-516947.03337274503 -906899.1931802713)
48109,p61,culberson,TX,31.3019,-104.4978,POINT (-104.4978 31.3019),POINT (-810517.0514650188 -816271.6769855429)
48229,p61,hudspeth,TX,31.3165,-105.4233,POINT (-105.4233 31.3165),POINT (-898325.0128083922 -805990.3841560616)
48235,p61,irion,TX,31.3054,-100.9812,POINT (-100.9812 31.3054),POINT (-475535.0599054217 -840680.3086760947)
48243,p61,jeff davis,TX,30.761,-104.158,POINT (-104.158 30.761),POINT (-783552.1514890622 -878960.9693159478)
48271,p61,kinney,TX,29.3544,-100.4105,POINT (-100.4105 29.3544),POINT (-431552.550065453 -1059517.2256178763)
48371,p61,pecos,TX,30.7143,-102.6595,POINT (-102.6595 30.7143),POINT (-640287.9363865987 -895818.4864173045)
48377,p61,presidio,TX,29.9461,-104.2391,POINT (-104.2391 29.9461),POINT (-799470.1471793397 -968231.1854616983)
48389,p61,reeves,TX,31.3853,-103.6537,POINT (-103.6537 31.3853),POINT (-729431.5521683873 -814186.8824311069)
48399,p61,runnels,TX,31.839,-99.9766,POINT (-99.9766 31.839),POINT (-377119.5935405064 -786281.3866304322)
48413,p61,schleicher,TX,30.9013,-100.539,POINT (-100.539 30.9013),POINT (-435585.3367112559 -887631.2865580147)
48431,p61,sterling,TX,31.8222,-101.0451,POINT (-101.0451 31.8222),POINT (-478461.18374150293 -783130.312449941)
48435,p61,sutton,TX,30.4919,-100.5386,POINT (-100.5386 30.4919),POINT (-437804.65011740976 -932964.9893906884)
48441,p61,taylor,TX,32.3045,-99.8901,POINT (-99.8901 32.3045),POINT (-366720.5132279524 -735063.711768536)
48443,p61,terrell,TX,30.2125,-102.1628,POINT (-102.1628 30.2125),POINT (-596364.4397684507 -954679.006962248)
48451,p61,tom green,TX,31.3893,-100.4023,POINT (-100.4023 31.3893),POINT (-419866.7153996723 -834231.7600199991)
48465,p61,val verde,TX,29.7645,-101.0491,POINT (-101.0491 29.7645),POINT (-491462.68245934905 -1010889.3959236352)
48003,p62,andrews,TX,32.2885,-102.6379,POINT (-102.6379 32.2885),POINT (-625522.8249949389 -721887.5283408486)
48103,p62,crane,TX,31.3689,-102.5403,POINT (-102.5403 31.3689),POINT (-623647.190485866 -824258.5749004544)
48135,p62,ector,TX,31.8599,-102.5429,POINT (-102.5429 31.8599),POINT (-619992.4906042028 -769938.7505413905)
48173,p62,glasscock,TX,31.8477,-101.5209,POINT (-101.5209 31.8477),POINT (-523360.78701706626 -777694.3686485299)
48301,p62,loving,TX,31.826,-103.5679,POINT (-103.5679 31.826),POINT (-717223.4668147177 -766172.5292649519)
48317,p62,martin,TX,32.299,-101.9515,POINT (-101.9515 32.299),POINT (-560861.119678702 -725189.9949403041)
48329,p62,midland,TX,31.8364,-102.0316,POINT (-102.0316 31.8364),POINT (-571788.5319713316 -775878.8299100638)
48383,p62,reagan,TX,31.3693,-101.523,POINT (-101.523 31.3693),POINT (-526769.7142748317 -830630.0297976242)
48461,p62,upton,TX,31.369,-102.0443,POINT (-102.0443 31.369),POINT (-576422.648364582 -827510.5291718674)
48475,p62,ward,TX,31.4598,-103.1287,POINT (-103.1287 31.4598),POINT (-678857.3419932785 -810006.807091598)
48495,p62,winkler,TX,31.8614,-103.0627,POINT (-103.0627 31.8614),POINT (-669140.2651028204 -766099.4329341521)
48001,p63,anderson,TX,31.7951,-95.6887,POINT (-95.6887 31.7951),POINT (29548.401835648234 -799321.1603212316)
48005,p63,angelina,TX,31.2769,-94.6355,POINT (-94.6355 31.2769),POINT (130370.92869996703 -855853.6784814374)
48009,p63,archer,TX,33.6138,-98.6883,POINT (-98.6883 33.6138),POINT (-249187.33853742707 -594006.6646209811)
48027,p63,bell,TX,31.0402,-97.51,POINT (-97.51 31.0402),POINT (-144705.20954216673 -881874.5582282569)
48035,p63,bosque,TX,31.8982,-97.6486,POINT (-97.6486 31.8982),POINT (-156266.44646775947 -786527.1822768024)
48049,p63,brown,TX,31.7664,-98.958,POINT (-98.958 31.7664),POINT (-280821.5973863738 -797999.7424651281)
48073,p63,cherokee,TX,31.7826,-95.1853,POINT (-95.1853 31.7826),POINT (77341.57388365126 -800412.1694154191)
48077,p63,clay,TX,33.81,-98.2007,POINT (-98.2007 33.81),POINT (-203474.7287656719 -573462.4583178727)
48085,p63,collin,TX,33.1929,-96.5676,POINT (-96.5676 33.1929),POINT (-52910.23365735182 -644197.2951136761)
48093,p63,comanche,TX,31.9702,-98.5993,POINT (-98.5993 31.9702),POINT (-246133.76531965946 -776448.2296145606)
48097,p63,cooke,TX,33.6877,-97.2144,POINT (-97.2144 33.6877),POINT (-112470.45549034068 -588733.803791478)
48099,p63,coryell,TX,31.394,-97.8008,POINT (-97.8008 31.394),POINT (-171795.1862918194 -842149.4514260619)
48113,p63,dallas,TX,32.7661,-96.7774,POINT (-96.7774 32.7661),POINT (-72870.28447503647 -691385.2405408155)
48119,p63,delta,TX,33.357,-95.7245,POINT (-95.7245 33.357),POINT (25627.01982322948 -626122.996615496)
48121,p63,denton,TX,33.2078,-97.1156,POINT (-97.1156 33.2078),POINT (-103971.5640524527 -642073.588425032)
48133,p63,eastland,TX,32.2936,-98.8015,POINT (-98.8015 32.2936),POINT (-264173.51705682307 -740036.8049642332)
48139,p63,ellis,TX,32.3014,-96.7619,POINT (-96.7619 32.3014),POINT (-71847.85320530352 -742929.1408324237)
48143,p63,erath,TX,32.214,-98.2274,POINT (-98.2274 32.214),POINT (-210265.02111921992 -750353.6646279362)
48145,p63,falls,TX,31.2537,-96.9393,POINT (-96.9393 31.2537),POINT (-89772.84867076162 -858938.9380443726)
