Unnamed: 0,Locations,capacity_solar,cf_solar,reg_mult_solar,capacity_wind,cf_wind,reg_mult_wind,latitude,longitude,county,capacity_geo,cf_geo,state,reg_mult,trans_dist_orig,trans_dist,telecom_dist,water_price,FIPS,clim_zone,state_id
394,5354,348.23,0.2,1.02,0.0,0.0,1.04,47.72,-122.46,King,0.0,0.0,Washington,1.02,29.05,1741.79,2484.1,3.7857142857142856,48269,3B,48
395,5355,2981.35,0.2,1.02,0.0,0.0,1.04,47.74,-122.3,King,0.0,0.0,Washington,1.02,12.47,1734.62,2473.97,3.7857142857142856,48269,3B,48
396,5356,3447.09,0.19,1.02,66.0,0.25,1.04,47.77,-122.14,King,0.0,0.0,Washington,1.02,12.04,1727.43,2463.85,3.7857142857142856,48269,3B,48
462,5734,764.06,0.2,1.02,0.0,0.0,1.04,47.62,-122.41,King,0.0,0.0,Washington,1.02,6.35,1733.73,2473.28,3.7857142857142856,48269,3B,48
463,5735,2186.76,0.2,1.02,0.0,0.0,0.0,47.65,-122.26,King,0.0,0.0,Washington,1.02,7.18,1726.47,2463.05,3.7857142857142856,48269,3B,48
464,5736,3181.16,0.19,1.02,0.0,0.0,1.04,47.68,-122.1,King,0.0,0.0,Washington,1.02,17.82,1719.31,2452.99,3.7857142857142856,48269,3B,48
465,5737,3372.6,0.18,1.02,234.0,0.14,1.04,47.7,-121.94,King,0.0,0.0,Washington,1.02,25.58,1712.07,2442.85,3.7857142857142856,48269,3B,48
466,5738,1378.81,0.18,1.02,186.0,0.19,1.04,47.73,-121.79,King,2.16,0.99,Washington,1.02,30.56,1704.94,2432.88,3.7857142857142856,48269,3B,48
467,5739,416.62,0.18,1.02,114.0,0.28,1.04,47.76,-121.63,King,4.56,0.99,Washington,1.02,15.18,1697.79,2422.92,3.7857142857142856,48269,3B,48
539,6114,1907.67,0.2,1.02,36.0,0.3,1.04,47.53,-122.37,King,0.0,0.0,Washington,1.02,3.44,1725.71,2462.47,3.7857142857142856,48269,3B,48
540,6115,2041.65,0.2,1.02,0.0,0.0,1.04,47.56,-122.21,King,0.0,0.0,Washington,1.02,1.26,1718.41,2452.22,3.7857142857142856,48269,3B,48
541,6116,3099.82,0.19,1.02,132.0,0.27,1.04,47.58,-122.06,King,0.0,0.0,Washington,1.02,13.66,1711.22,2442.13,3.7857142857142856,48269,3B,48
542,6117,2306.37,0.18,1.02,252.0,0.16,1.04,47.61,-121.9,King,0.0,0.0,Washington,1.02,21.16,1703.95,2431.97,3.7857142857142856,48269,3B,48
543,6118,256.7,0.18,1.02,66.0,0.21,1.04,47.64,-121.74,King,2.28,0.99,Washington,1.02,27.94,1696.84,2422.06,3.7857142857142856,48269,3B,48
544,6119,513.95,0.18,1.02,120.0,0.24,1.04,47.66,-121.59,King,5.13,0.99,Washington,1.02,22.62,1689.65,2412.07,3.7857142857142856,48269,3B,48
545,6120,72.35,0.19,1.02,0.0,0.0,1.04,47.69,-121.43,King,1.74,0.99,Washington,1.02,18.56,1682.52,2402.18,3.7857142857142856,48269,3B,48
546,6121,154.65,0.2,1.02,54.0,0.23,1.04,47.71,-121.27,King,1.77,0.99,Washington,1.02,35.29,1675.36,2392.29,3.7857142857142856,48269,3B,48
629,6494,2040.28,0.2,1.02,36.0,0.3,1.04,47.44,-122.32,King,0.0,0.0,Washington,1.02,10.46,1717.66,2451.59,3.7857142857142856,48269,3B,48
