location,value
p48,"{'nercr': 'SPP', 'transreg': 'SPP', 'transgrp': 'SPP_South', 'cendiv': 'West_South_Central', 'st': 'TX', 'interconnect': 'eastern', 'st_interconnect': 'TX_eastern', 'country': 'USA', 'usda_region': 'southern-plains', 'h2ptcreg': 'Texas', 'hurdlereg': 'SPP', 'aggreg': 'p48'}"
p57,"{'nercr': 'SPP', 'transreg': 'SPP', 'transgrp': 'SPP_South', 'cendiv': 'West_South_Central', 'st': 'TX', 'interconnect': 'eastern', 'st_interconnect': 'TX_eastern', 'country': 'USA', 'usda_region': 'southern-plains', 'h2ptcreg': 'Texas', 'hurdlereg': 'SPP', 'aggreg': 'p57'}"
p59,"{'nercr': 'WECC_SW', 'transreg': 'WestConnect', 'transgrp': 'WestConnect_South', 'cendiv': 'Mountain', 'st': 'TX', 'interconnect': 'western', 'st_interconnect': 'TX_western', 'country': 'USA', 'usda_region': 'southern-plains', 'h2ptcreg': 'Texas', 'hurdlereg': 'El_Paso_Electric', 'aggreg': 'p59'}"
p60,"{'nercr': 'ERCOT', 'transreg': 'ERCOT', 'transgrp': 'ERCOT', 'cendiv': 'West_South_Central', 'st': 'TX', 'interconnect': 'ercot', 'st_interconnect': 'TX_ercot', 'country': 'USA', 'usda_region': 'southern-plains', 'h2ptcreg': 'Texas', 'hurdlereg': 'ERCOT', 'aggreg': 'p60'}"
p61,"{'nercr': 'ERCOT', 'transreg': 'ERCOT', 'transgrp': 'ERCOT', 'cendiv': 'West_South_Central', 'st': 'TX', 'interconnect': 'ercot', 'st_interconnect': 'TX_ercot', 'country': 'USA', 'usda_region': 'southern-plains', 'h2ptcreg': 'Texas', 'hurdlereg': 'ERCOT', 'aggreg': 'p61'}"
p62,"{'nercr': 'ERCOT', 'transreg': 'ERCOT', 'transgrp': 'ERCOT', 'cendiv': 'West_South_Central', 'st': 'TX', 'interconnect': 'ercot', 'st_interconnect': 'TX_ercot', 'country': 'USA', 'usda_region': 'southern-plains', 'h2ptcreg': 'Texas', 'hurdlereg': 'ERCOT', 'aggreg': 'p62'}"
p63,"{'nercr': 'ERCOT', 'transreg': 'ERCOT', 'transgrp': 'ERCOT', 'cendiv': 'West_South_Central', 'st': 'TX', 'interconnect': 'ercot', 'st_interconnect': 'TX_ercot', 'country': 'USA', 'usda_region': 'southern-plains', 'h2ptcreg': 'Texas', 'hurdlereg': 'ERCOT', 'aggreg': 'p63'}"
p64,"{'nercr': 'ERCOT', 'transreg': 'ERCOT', 'transgrp': 'ERCOT', 'cendiv': 'West_South_Central', 'st': 'TX', 'interconnect': 'ercot', 'st_interconnect': 'TX_ercot', 'country': 'USA', 'usda_region': 'southern-plains', 'h2ptcreg': 'Texas', 'hurdlereg': 'ERCOT', 'aggreg': 'p64'}"
p65,"{'nercr': 'ERCOT', 'transreg': 'ERCOT', 'transgrp': 'ERCOT', 'cendiv': 'West_South_Central', 'st': 'TX', 'interconnect': 'ercot', 'st_interconnect': 'TX_ercot', 'country': 'USA', 'usda_region': 'southern-plains', 'h2ptcreg': 'Texas', 'hurdlereg': 'ERCOT', 'aggreg': 'p65'}"
p66,"{'nercr': 'MISO', 'transreg': 'MISO', 'transgrp': 'MISO_South', 'cendiv': 'West_South_Central', 'st': 'TX', 'interconnect': 'eastern', 'st_interconnect': 'TX_eastern', 'country': 'USA', 'usda_region': 'southern-plains', 'h2ptcreg': 'Texas', 'hurdlereg': 'MISO', 'aggreg': 'p66'}"
p67,"{'nercr': 'ERCOT', 'transreg': 'ERCOT', 'transgrp': 'ERCOT', 'cendiv': 'West_South_Central', 'st': 'TX', 'interconnect': 'ercot', 'st_interconnect': 'TX_ercot', 'country': 'USA', 'usda_region': 'southern-plains', 'h2ptcreg': 'Texas', 'hurdlereg': 'ERCOT', 'aggreg': 'p67'}"
