location,value
0,152.68
1,110.92
2,130.48
3,96.08
4,69.87
5,53.25
6,141.27
7,38.29
8,101.17
9,55.77
10,94.25
11,128.56
12,63.13
13,80.4
14,100.26
15,45.6
16,12.16
17,48.58
18,72.43
19,157.8
20,88.84
21,182.21
22,200.0
23,74.76
24,100.33
25,72.0
26,112.95
27,128.38
28,190.4
29,108.73
30,161.89
31,125.9
32,188.77
33,183.93
34,187.77
35,140.44
36,168.21
37,176.49
38,102.98
39,71.91
40,88.6
41,190.36
42,146.77
43,150.35
44,146.41
45,128.7
46,53.73
47,124.73
48,95.18
49,43.93
50,41.04
51,19.84
52,14.45
53,59.34
54,103.56
55,124.13
56,90.91
57,35.94
58,165.92
59,17.03
60,11.68
61,118.04
62,170.97
63,13.79
64,144.64
65,165.36
66,127.98
67,7.36
68,14.6
69,199.16
70,13.32
71,37.93
72,33.7
73,24.4
74,52.48
75,124.64
76,75.58
77,133.22
78,118.16
79,96.02
80,1.59
81,2.58
82,69.2
83,132.8
84,33.76
85,94.52
86,38.91
87,158.12
88,121.34
89,91.24
90,154.32
91,190.88
92,37.39
93,78.75
94,109.62
95,88.09
