location,value
48003,0
48005,0
48007,0
48009,0
48013,0
48015,0
48017,0
48019,0
48021,0
48023,0
48025,0
48029,0
48031,0
48033,0
48035,0
48037,0
48039,0
48041,0
48043,0
48045,0
48051,0
48053,0
48059,0
48063,0
48065,0
48069,0
48075,0
48079,0
48081,0
48083,0
48085,0
48087,0
48089,0
48091,0
48093,0
48095,0
48097,0
48099,0
48101,0
48103,0
48107,0
48109,0
48111,0
48117,0
48121,0
48123,0
48125,0
48127,0
48129,0
48133,0
48135,0
48139,0
48141,0
48143,0
48145,0
48151,0
48155,0
48157,0
48161,0
48163,0
48165,0
48167,0
48169,0
48171,0
48173,0
48175,0
48177,0
48183,0
48185,0
48187,0
48195,0
48205,0
48207,0
48209,0
48211,0
48215,0
48217,0
48219,0
48221,0
48229,0
48231,0
48233,0
48235,0
48237,0
48247,0
48249,0
48255,0
48257,0
48261,0
48265,0
48267,0
48269,0
48271,0
48273,0
48279,0
48281,0
48285,0
48295,0
48297,0
48299,0
48301,0
48303,0
48305,0
48307,0
48309,0
48311,0
48321,0
48323,0
48331,0
48333,0
48337,0
48345,0
48347,0
48349,0
48353,0
48355,0
48357,0
48363,0
48367,0
48369,0
48371,0
48377,0
48379,0
48381,0
48383,0
48385,0
48387,0
48389,0
48391,0
48393,0
48397,0
48399,0
48401,0
48403,0
48405,0
48407,0
48409,0
48411,0
48413,0
48415,0
48417,0
48425,0
48427,0
48431,0
48433,0
48435,0
48437,0
48439,0
48445,0
48447,0
48449,0
48451,0
48453,0
48455,0
48461,0
48463,0
48465,0
48467,0
48469,0
48473,0
48475,0
48479,0
48481,0
48485,0
48487,0
48489,0
48495,0
48501,0
48503,0
48505,0
48507,0
