location,value
48011,"{'ba': 'p48', 'county_name': 'armstrong', 'state': 'TX'}"
48017,"{'ba': 'p48', 'county_name': 'bailey', 'state': 'TX'}"
48065,"{'ba': 'p48', 'county_name': 'carson', 'state': 'TX'}"
48069,"{'ba': 'p48', 'county_name': 'castro', 'state': 'TX'}"
48079,"{'ba': 'p48', 'county_name': 'cochran', 'state': 'TX'}"
48087,"{'ba': 'p48', 'county_name': 'collingsworth', 'state': 'TX'}"
48111,"{'ba': 'p48', 'county_name': 'dallam', 'state': 'TX'}"
48117,"{'ba': 'p48', 'county_name': 'deaf smith', 'state': 'TX'}"
48129,"{'ba': 'p48', 'county_name': 'donley', 'state': 'TX'}"
48153,"{'ba': 'p48', 'county_name': 'floyd', 'state': 'TX'}"
48165,"{'ba': 'p48', 'county_name': 'gaines', 'state': 'TX'}"
48169,"{'ba': 'p48', 'county_name': 'garza', 'state': 'TX'}"
48179,"{'ba': 'p48', 'county_name': 'gray', 'state': 'TX'}"
48189,"{'ba': 'p48', 'county_name': 'hale', 'state': 'TX'}"
48195,"{'ba': 'p48', 'county_name': 'hansford', 'state': 'TX'}"
48205,"{'ba': 'p48', 'county_name': 'hartley', 'state': 'TX'}"
48211,"{'ba': 'p48', 'county_name': 'hemphill', 'state': 'TX'}"
48219,"{'ba': 'p48', 'county_name': 'hockley', 'state': 'TX'}"
48233,"{'ba': 'p48', 'county_name': 'hutchinson', 'state': 'TX'}"
48279,"{'ba': 'p48', 'county_name': 'lamb', 'state': 'TX'}"
48295,"{'ba': 'p48', 'county_name': 'lipscomb', 'state': 'TX'}"
48303,"{'ba': 'p48', 'county_name': 'lubbock', 'state': 'TX'}"
48305,"{'ba': 'p48', 'county_name': 'lynn', 'state': 'TX'}"
48341,"{'ba': 'p48', 'county_name': 'moore', 'state': 'TX'}"
48357,"{'ba': 'p48', 'county_name': 'ochiltree', 'state': 'TX'}"
48359,"{'ba': 'p48', 'county_name': 'oldham', 'state': 'TX'}"
48369,"{'ba': 'p48', 'county_name': 'parmer', 'state': 'TX'}"
48375,"{'ba': 'p48', 'county_name': 'potter', 'state': 'TX'}"
48381,"{'ba': 'p48', 'county_name': 'randall', 'state': 'TX'}"
48393,"{'ba': 'p48', 'county_name': 'roberts', 'state': 'TX'}"
48421,"{'ba': 'p48', 'county_name': 'sherman', 'state': 'TX'}"
48437,"{'ba': 'p48', 'county_name': 'swisher', 'state': 'TX'}"
48445,"{'ba': 'p48', 'county_name': 'terry', 'state': 'TX'}"
48483,"{'ba': 'p48', 'county_name': 'wheeler', 'state': 'TX'}"
48501,"{'ba': 'p48', 'county_name': 'yoakum', 'state': 'TX'}"
