location,value
48003,0.0
48005,202.46
48007,65.1
48009,50.34
48013,250.43
48015,298.28
48017,0.0
48019,0.0
48021,268.09
48023,203.63
48025,321.3
48029,0.0
48031,0.0
48033,0.0
48035,226.13
48037,188.49
48039,101.36
48041,231.69
48043,446.96
48045,0.0
48051,324.64
48053,0.0
48059,0.0
48063,225.64
48065,0.0
48069,0.0
48075,240.72
48079,0.0
48081,0.0
48083,0.0
48085,98.98
48087,222.56
48089,319.76
48091,0.0
48093,0.0
48095,0.0
48097,0.0
48099,137.66
48101,212.57
48103,0.0
48107,0.0
48109,503.56
48111,0.0
48117,0.0
48121,0.0
48123,427.32
48125,0.0
48127,477.65
48129,0.0
48133,0.0
48135,0.0
48139,151.2
48141,474.01
48143,0.0
48145,311.37
48151,0.0
48155,182.89
48157,98.42
48161,312.43
48163,242.0
48165,0.0
48167,50.03
48169,0.0
48171,0.0
48173,0.0
48175,262.25
48177,124.48
48183,198.67
48185,416.05
48187,0.0
48195,0.0
48205,0.0
48207,353.52
48209,0.0
48211,72.77
48215,789.88
48217,225.24
48219,0.0
48221,202.8
48229,559.57
48231,261.56
48233,0.0
48235,0.0
48237,1.39
48247,593.63
48249,283.63
48255,232.97
48257,228.74
48261,428.57
48265,0.0
48267,0.0
48269,224.56
48271,337.51
48273,350.98
48279,0.0
48281,0.0
48285,349.23
48295,253.75
48297,503.55
48299,0.0
48301,0.0
48303,0.0
48305,0.0
48307,0.0
48309,125.19
48311,576.74
48321,118.61
48323,307.24
48331,318.96
48333,0.0
48337,3.06
48345,0.0
48347,351.7
48349,235.21
48353,0.0
48355,102.25
48357,67.76
48363,0.0
48367,181.98
48369,0.0
48371,0.0
48377,630.9
48379,214.16
48381,0.0
48383,0.0
48385,0.0
48387,193.22
48389,0.0
48391,181.14
48393,0.0
48397,30.32
48399,0.0
48401,434.78
48403,518.7
48405,337.26
48407,291.06
48409,136.96
48411,0.0
48413,0.0
48415,0.0
48417,0.0
48425,120.23
48427,608.08
48431,0.0
48433,0.0
48435,360.13
48437,0.0
48439,77.14
48445,0.0
48447,141.21
48449,183.51
48451,0.0
48453,0.0
48455,336.63
48461,0.0
48463,0.0
48465,393.49
48467,238.15
48469,299.03
48473,206.98
48475,108.32
48479,547.7
48481,97.39
48485,0.0
48487,0.0
48489,118.99
48495,0.0
48501,0.0
48503,0.0
48505,636.77
48507,367.91
