hour,location,value
0,48003,0.0
0,48005,200.43540000000002
0,48007,64.449
0,48009,49.836600000000004
0,48013,247.9257
0,48015,295.2972
0,48017,0.0
0,48019,0.0
0,48021,265.40909999999997
0,48023,201.59369999999998
0,48025,318.087
0,48029,0.0
0,48031,0.0
0,48033,0.0
0,48035,223.8687
0,48037,186.60510000000002
0,48039,100.3464
0,48041,229.3731
0,48043,442.49039999999997
0,48045,0.0
0,48051,321.3936
0,48053,0.0
0,48059,0.0
0,48063,223.38359999999997
0,48065,0.0
0,48069,0.0
0,48075,238.3128
0,48079,0.0
0,48081,0.0
0,48083,0.0
0,48085,97.9902
0,48087,220.3344
0,48089,316.56239999999997
0,48091,0.0
0,48093,0.0
0,48095,0.0
0,48097,0.0
0,48099,136.2834
0,48101,210.4443
0,48103,0.0
0,48107,0.0
0,48109,498.5244
0,48111,0.0
0,48117,0.0
0,48121,0.0
0,48123,423.04679999999996
0,48125,0.0
0,48127,472.8735
0,48129,0.0
0,48133,0.0
0,48135,0.0
0,48139,149.688
0,48141,469.2699
0,48143,0.0
0,48145,308.2563
0,48151,0.0
0,48155,181.06109999999998
0,48157,97.4358
0,48161,309.3057
0,48163,239.57999999999998
0,48165,0.0
0,48167,49.5297
0,48169,0.0
0,48171,0.0
0,48173,0.0
0,48175,259.6275
0,48177,123.2352
0,48183,196.68329999999997
0,48185,411.8895
0,48187,0.0
0,48195,0.0
0,48205,0.0
0,48207,349.9848
0,48209,0.0
0,48211,72.0423
0,48215,781.9812
0,48217,222.98760000000001
0,48219,0.0
0,48221,200.77200000000002
0,48229,553.9743000000001
0,48231,258.9444
0,48233,0.0
0,48235,0.0
0,48237,1.3760999999999999
0,48247,587.6937
0,48249,280.7937
0,48255,230.6403
0,48257,226.45260000000002
0,48261,424.2843
0,48265,0.0
0,48267,0.0
0,48269,222.3144
0,48271,334.1349
0,48273,347.47020000000003
0,48279,0.0
0,48281,0.0
0,48285,345.7377
0,48295,251.2125
0,48297,498.5145
0,48299,0.0
0,48301,0.0
0,48303,0.0
0,48305,0.0
0,48307,0.0
0,48309,123.93809999999999
0,48311,570.9726
0,48321,117.4239
0,48323,304.1676
0,48331,315.7704
0,48333,0.0
0,48337,3.0294
0,48345,0.0
0,48347,348.183
0,48349,232.8579
0,48353,0.0
0,48355,101.22749999999999
0,48357,67.0824
0,48363,0.0
0,48367,180.16019999999997
0,48369,0.0
0,48371,0.0
0,48377,624.591
0,48379,212.01839999999999
0,48381,0.0
0,48383,0.0
0,48385,0.0
0,48387,191.2878
0,48389,0.0
0,48391,179.3286
0,48393,0.0
0,48397,30.0168
0,48399,0.0
0,48401,430.43219999999997
0,48403,513.513
0,48405,333.8874
0,48407,288.1494
0,48409,135.59040000000002
0,48411,0.0
0,48413,0.0
0,48415,0.0
0,48417,0.0
0,48425,119.0277
0,48427,601.9992000000001
0,48431,0.0
0,48433,0.0
0,48435,356.5287
0,48437,0.0
0,48439,76.3686
0,48445,0.0
0,48447,139.7979
0,48449,181.67489999999998
0,48451,0.0
0,48453,0.0
0,48455,333.2637
0,48461,0.0
0,48463,0.0
0,48465,389.5551
0,48467,235.76850000000002
0,48469,296.0397
0,48473,204.91019999999997
0,48475,107.23679999999999
0,48479,542.2230000000001
0,48481,96.4161
0,48485,0.0
0,48487,0.0
0,48489,117.8001
0,48495,0.0
0,48501,0.0
0,48503,0.0
0,48505,630.4023
0,48507,364.2309
1,48003,0.0
1,48005,200.43540000000002
1,48007,64.449
1,48009,49.836600000000004
1,48013,247.9257
1,48015,295.2972
1,48017,0.0
1,48019,0.0
1,48021,265.40909999999997
1,48023,201.59369999999998
1,48025,318.087
1,48029,0.0
1,48031,0.0
1,48033,0.0
1,48035,223.8687
1,48037,186.60510000000002
1,48039,100.3464
1,48041,229.3731
1,48043,442.49039999999997
1,48045,0.0
1,48051,321.3936
1,48053,0.0
1,48059,0.0
1,48063,223.38359999999997
1,48065,0.0
1,48069,0.0
1,48075,238.3128
1,48079,0.0
1,48081,0.0
1,48083,0.0
1,48085,97.9902
1,48087,220.3344
1,48089,316.56239999999997
1,48091,0.0
1,48093,0.0
1,48095,0.0
1,48097,0.0
1,48099,136.2834
1,48101,210.4443
1,48103,0.0
1,48107,0.0
1,48109,498.5244
1,48111,0.0
1,48117,0.0
1,48121,0.0
1,48123,423.04679999999996
1,48125,0.0
1,48127,472.8735
1,48129,0.0
1,48133,0.0
1,48135,0.0
1,48139,149.688
1,48141,469.2699
1,48143,0.0
1,48145,308.2563
1,48151,0.0
1,48155,181.06109999999998
1,48157,97.4358
1,48161,309.3057
1,48163,239.57999999999998
1,48165,0.0
1,48167,49.5297
1,48169,0.0
1,48171,0.0
1,48173,0.0
1,48175,259.6275
1,48177,123.2352
1,48183,196.68329999999997
1,48185,411.8895
1,48187,0.0
1,48195,0.0
1,48205,0.0
1,48207,349.9848
1,48209,0.0
1,48211,72.0423
1,48215,781.9812
1,48217,222.98760000000001
1,48219,0.0
1,48221,200.77200000000002
1,48229,553.9743000000001
1,48231,258.9444
1,48233,0.0
1,48235,0.0
1,48237,1.3760999999999999
1,48247,587.6937
1,48249,280.7937
1,48255,230.6403
1,48257,226.45260000000002
1,48261,424.2843
1,48265,0.0
1,48267,0.0
1,48269,222.3144
1,48271,334.1349
1,48273,347.47020000000003
1,48279,0.0
1,48281,0.0
1,48285,345.7377
1,48295,251.2125
1,48297,498.5145
1,48299,0.0
1,48301,0.0
1,48303,0.0
1,48305,0.0
1,48307,0.0
1,48309,123.93809999999999
1,48311,570.9726
1,48321,117.4239
1,48323,304.1676
1,48331,315.7704
1,48333,0.0
1,48337,3.0294
1,48345,0.0
1,48347,348.183
1,48349,232.8579
1,48353,0.0
1,48355,101.22749999999999
1,48357,67.0824
1,48363,0.0
1,48367,180.16019999999997
1,48369,0.0
1,48371,0.0
1,48377,624.591
1,48379,212.01839999999999
1,48381,0.0
1,48383,0.0
1,48385,0.0
1,48387,191.2878
1,48389,0.0
1,48391,179.3286
1,48393,0.0
1,48397,30.0168
1,48399,0.0
1,48401,430.43219999999997
1,48403,513.513
1,48405,333.8874
1,48407,288.1494
1,48409,135.59040000000002
1,48411,0.0
1,48413,0.0
1,48415,0.0
1,48417,0.0
1,48425,119.0277
1,48427,601.9992000000001
1,48431,0.0
1,48433,0.0
1,48435,356.5287
1,48437,0.0
1,48439,76.3686
1,48445,0.0
1,48447,139.7979
1,48449,181.67489999999998
1,48451,0.0
1,48453,0.0
1,48455,333.2637
1,48461,0.0
1,48463,0.0
1,48465,389.5551
1,48467,235.76850000000002
1,48469,296.0397
1,48473,204.91019999999997
1,48475,107.23679999999999
1,48479,542.2230000000001
1,48481,96.4161
1,48485,0.0
1,48487,0.0
1,48489,117.8001
1,48495,0.0
1,48501,0.0
1,48503,0.0
1,48505,630.4023
1,48507,364.2309
2,48003,0.0
2,48005,200.43540000000002
2,48007,64.449
2,48009,49.836600000000004
2,48013,247.9257
2,48015,295.2972
2,48017,0.0
2,48019,0.0
2,48021,265.40909999999997
2,48023,201.59369999999998
2,48025,318.087
2,48029,0.0
2,48031,0.0
2,48033,0.0
2,48035,223.8687
2,48037,186.60510000000002
2,48039,100.3464
2,48041,229.3731
2,48043,442.49039999999997
2,48045,0.0
2,48051,321.3936
2,48053,0.0
2,48059,0.0
2,48063,223.38359999999997
2,48065,0.0
2,48069,0.0
2,48075,238.3128
2,48079,0.0
2,48081,0.0
2,48083,0.0
2,48085,97.9902
2,48087,220.3344
2,48089,316.56239999999997
2,48091,0.0
2,48093,0.0
2,48095,0.0
2,48097,0.0
2,48099,136.2834
2,48101,210.4443
2,48103,0.0
2,48107,0.0
2,48109,498.5244
2,48111,0.0
2,48117,0.0
2,48121,0.0
