location,value
48003,"{'latitude': 32.2, 'longitude': -102.97}"
48005,"{'latitude': 31.4, 'longitude': -94.79}"
48007,"{'latitude': 28.0, 'longitude': -97.14}"
48009,"{'latitude': 33.65, 'longitude': -98.93}"
48013,"{'latitude': 28.68, 'longitude': -98.74}"
48015,"{'latitude': 29.91, 'longitude': -96.42}"
48017,"{'latitude': 34.18, 'longitude': -103.03}"
48019,"{'latitude': 29.86, 'longitude': -99.4}"
48021,"{'latitude': 30.31, 'longitude': -97.18}"
48023,"{'latitude': 33.44, 'longitude': -99.31}"
48025,"{'latitude': 28.4, 'longitude': -97.63}"
48029,"{'latitude': 29.68, 'longitude': -98.78}"
48031,"{'latitude': 30.38, 'longitude': -98.55}"
48033,"{'latitude': 32.58, 'longitude': -101.46}"
48035,"{'latitude': 32.09, 'longitude': -97.72}"
48037,"{'latitude': 33.48, 'longitude': -94.75}"
48039,"{'latitude': 29.31, 'longitude': -95.68}"
48041,"{'latitude': 30.81, 'longitude': -96.3}"
48043,"{'latitude': 29.56, 'longitude': -103.72}"
48045,"{'latitude': 34.67, 'longitude': -101.09}"
48051,"{'latitude': 30.71, 'longitude': -96.68}"
48053,"{'latitude': 30.99, 'longitude': -98.32}"
48059,"{'latitude': 32.15, 'longitude': -99.51}"
48063,"{'latitude': 32.99, 'longitude': -95.02}"
48065,"{'latitude': 35.44, 'longitude': -101.42}"
48069,"{'latitude': 34.41, 'longitude': -102.53}"
48075,"{'latitude': 34.51, 'longitude': -100.02}"
48079,"{'latitude': 33.39, 'longitude': -102.96}"
48081,"{'latitude': 31.82, 'longitude': -100.64}"
48083,"{'latitude': 31.56, 'longitude': -99.48}"
48085,"{'latitude': 33.19, 'longitude': -96.31}"
48087,"{'latitude': 34.81, 'longitude': -100.04}"
48089,"{'latitude': 29.81, 'longitude': -96.42}"
48091,"{'latitude': 29.99, 'longitude': -98.29}"
48093,"{'latitude': 34.84, 'longitude': -98.58}"
48095,"{'latitude': 31.24, 'longitude': -100.1}"
48097,"{'latitude': 33.68, 'longitude': -97.23}"
48099,"{'latitude': 31.5, 'longitude': -97.58}"
48101,"{'latitude': 34.01, 'longitude': -100.12}"
48103,"{'latitude': 31.23, 'longitude': -102.5}"
48107,"{'latitude': 33.48, 'longitude': -101.27}"
48109,"{'latitude': 30.78, 'longitude': -104.85}"
48111,"{'latitude': 36.48, 'longitude': -102.45}"
48117,"{'latitude': 35.18, 'longitude': -102.87}"
48121,"{'latitude': 33.39, 'longitude': -96.84}"
48123,"{'latitude': 29.11, 'longitude': -97.16}"
48125,"{'latitude': 33.7, 'longitude': -100.63}"
48127,"{'latitude': 28.25, 'longitude': -99.58}"
48129,"{'latitude': 34.89, 'longitude': -100.57}"
48133,"{'latitude': 32.37, 'longitude': -98.49}"
48135,"{'latitude': 31.81, 'longitude': -102.81}"
48139,"{'latitude': 36.19, 'longitude': -99.98}"
48141,"{'latitude': 31.89, 'longitude': -106.01}"
48143,"{'latitude': 32.09, 'longitude': -97.97}"
48145,"{'latitude': 31.21, 'longitude': -96.68}"
48151,"{'latitude': 32.81, 'longitude': -100.57}"
48155,"{'latitude': 33.82, 'longitude': -99.98}"
48157,"{'latitude': 29.51, 'longitude': -95.93}"
48161,"{'latitude': 31.8, 'longitude': -96.44}"
48163,"{'latitude': 28.77, 'longitude': -98.99}"
48165,"{'latitude': 32.79, 'longitude': -103.03}"
48167,"{'latitude': 29.51, 'longitude': -95.19}"
48169,"{'latitude': 32.97, 'longitude': -101.49}"
48171,"{'latitude': 30.46, 'longitude': -99.3}"
48173,"{'latitude': 31.89, 'longitude': -101.28}"
48175,"{'latitude': 28.6, 'longitude': -97.64}"
48177,"{'latitude': 29.6, 'longitude': -97.41}"
48183,"{'latitude': 32.59, 'longitude': -94.77}"
48185,"{'latitude': 30.71, 'longitude': -96.05}"
48187,"{'latitude': 34.65, 'longitude': -105.07}"
48195,"{'latitude': 36.32, 'longitude': -101.62}"
48205,"{'latitude': 35.76, 'longitude': -103.06}"
48207,"{'latitude': 35.06, 'longitude': -94.99}"
48209,"{'latitude': 30.19, 'longitude': -98.17}"
48211,"{'latitude': 36.08, 'longitude': -100.38}"
48215,"{'latitude': 32.51, 'longitude': -108.95}"
48217,"{'latitude': 48.67, 'longitude': -109.53}"
48219,"{'latitude': 33.72, 'longitude': -102.33}"
48221,"{'latitude': 32.49, 'longitude': -97.6}"
48229,"{'latitude': 31.32, 'longitude': -105.68}"
48231,"{'latitude': 33.09, 'longitude': -95.92}"
48233,"{'latitude': 35.94, 'longitude': -101.32}"
48235,"{'latitude': 31.51, 'longitude': -100.87}"
48237,"{'latitude': 33.47, 'longitude': -98.01}"
48247,"{'latitude': 27.16, 'longitude': -98.93}"
48249,"{'latitude': 27.99, 'longitude': -98.11}"
48255,"{'latitude': 28.89, 'longitude': -98.13}"
48257,"{'latitude': 32.6, 'longitude': -96.18}"
48261,"{'latitude': 26.69, 'longitude': -97.6}"
48265,"{'latitude': 29.96, 'longitude': -99.66}"
48267,"{'latitude': 30.46, 'longitude': -99.55}"
48269,"{'latitude': 33.72, 'longitude': -100.11}"
48271,"{'latitude': 29.53, 'longitude': -100.5}"
48273,"{'latitude': 27.29, 'longitude': -97.97}"
48279,"{'latitude': 34.03, 'longitude': -102.23}"
48281,"{'latitude': 31.29, 'longitude': -98.08}"
48285,"{'latitude': 29.31, 'longitude': -96.79}"
48295,"{'latitude': 36.18, 'longitude': -100.12}"
48297,"{'latitude': 28.19, 'longitude': -98.24}"
48299,"{'latitude': 30.88, 'longitude': -98.57}"
48301,"{'latitude': 31.86, 'longitude': -103.7}"
48303,"{'latitude': 33.76, 'longitude': -101.68}"
48305,"{'latitude': 33.34, 'longitude': -102.04}"
48307,"{'latitude': 30.96, 'longitude': -99.33}"
48309,"{'latitude': 31.6, 'longitude': -97.58}"
48311,"{'latitude': 28.18, 'longitude': -98.6}"
48321,"{'latitude': 28.91, 'longitude': -96.3}"
48323,"{'latitude': 28.73, 'longitude': -100.33}"
48331,"{'latitude': 30.81, 'longitude': -96.81}"
48333,"{'latitude': 31.68, 'longitude': -98.6}"
48337,"{'latitude': 33.77, 'longitude': -97.76}"
48345,"{'latitude': 33.98, 'longitude': -100.91}"
48347,"{'latitude': 31.8, 'longitude': -94.78}"
48349,"{'latitude': 31.8, 'longitude': -96.56}"
48353,"{'latitude': 32.32, 'longitude': -100.54}"
48355,"{'latitude': 27.7, 'longitude': -97.62}"
48357,"{'latitude': 36.16, 'longitude': -100.66}"
48363,"{'latitude': 32.77, 'longitude': -98.5}"
48367,"{'latitude': 32.59, 'longitude': -97.73}"
48369,"{'latitude': 34.58, 'longitude': -102.94}"
48371,"{'latitude': 30.93, 'longitude': -102.6}"
48377,"{'latitude': 30.5, 'longitude': -104.57}"
48379,"{'latitude': 32.9, 'longitude': -95.8}"
48381,"{'latitude': 34.94, 'longitude': -101.78}"
48383,"{'latitude': 31.17, 'longitude': -101.74}"
48385,"{'latitude': 30.05, 'longitude': -99.91}"
48387,"{'latitude': 33.58, 'longitude': -94.88}"
48389,"{'latitude': 30.97, 'longitude': -103.61}"
48391,"{'latitude': 28.2, 'longitude': -97.39}"
48393,"{'latitude': 35.76, 'longitude': -101.04}"
48397,"{'latitude': 32.89, 'longitude': -96.44}"
48399,"{'latitude': 31.65, 'longitude': -99.74}"
48401,"{'latitude': 31.9, 'longitude': -94.65}"
48403,"{'latitude': 31.58, 'longitude': -93.39}"
48405,"{'latitude': 31.59, 'longitude': -94.15}"
48407,"{'latitude': 30.51, 'longitude': -95.3}"
48409,"{'latitude': 28.1, 'longitude': -97.63}"
48411,"{'latitude': 31.08, 'longitude': -98.83}"
48413,"{'latitude': 31.03, 'longitude': -100.21}"
48415,"{'latitude': 32.9, 'longitude': -100.71}"
48417,"{'latitude': 32.55, 'longitude': -99.53}"
48425,"{'latitude': 32.19, 'longitude': -97.84}"
48427,"{'latitude': 26.56, 'longitude': -98.79}"
48431,"{'latitude': 31.9, 'longitude': -100.9}"
48433,"{'latitude': 33.11, 'longitude': -100.46}"
48435,"{'latitude': 30.31, 'longitude': -100.8}"
48437,"{'latitude': 34.73, 'longitude': -101.89}"
48439,"{'latitude': 32.99, 'longitude': -97.35}"
48445,"{'latitude': 33.02, 'longitude': -102.53}"
48447,"{'latitude': 33.35, 'longitude': -99.3}"
48449,"{'latitude': 33.19, 'longitude': -94.89}"
48451,"{'latitude': 31.13, 'longitude': -100.22}"
48453,"{'latitude': 30.4, 'longitude': -97.43}"
48455,"{'latitude': 31.0, 'longitude': -95.05}"
48461,"{'latitude': 31.06, 'longitude': -101.85}"
48463,"{'latitude': 29.45, 'longitude': -99.88}"
48465,"{'latitude': 30.12, 'longitude': -100.78}"
48467,"{'latitude': 32.7, 'longitude': -96.05}"
48469,"{'latitude': 29.01, 'longitude': -96.91}"
48473,"{'latitude': 30.21, 'longitude': -95.93}"
48475,"{'latitude': 48.45, 'longitude': -101.68}"
48479,"{'latitude': 27.37, 'longitude': -98.93}"
48481,"{'latitude': 29.31, 'longitude': -96.42}"
48485,"{'latitude': 38.4, 'longitude': -101.38}"
48487,"{'latitude': 33.85, 'longitude': -99.07}"
48489,"{'latitude': 26.48, 'longitude': -97.71}"
48495,"{'latitude': 31.8, 'longitude': -102.93}"
48501,"{'latitude': 33.3, 'longitude': -102.95}"
48503,"{'latitude': 33.16, 'longitude': -98.91}"
48505,"{'latitude': 27.05, 'longitude': -99.28}"
48507,"{'latitude': 28.76, 'longitude': -99.48}"
