location,value
48003,1.065
48005,1.105
48007,1.105
48009,1.065
48013,1.105
48015,1.105
48017,1.05
48019,1.105
48021,1.105
48023,1.065
48025,1.105
48029,1.105
48031,1.065
48033,1.065
48035,1.105
48037,1.065
48039,1.105
48041,1.105
48043,1.065
48045,1.05
48051,1.105
48053,1.065
48059,1.065
48063,1.065
48065,1.05
48069,1.05
48075,1.065
48079,1.05
48081,1.065
48083,1.065
48085,1.065
48087,1.065
48089,1.105
48091,1.105
48093,1.065
48095,1.065
48097,1.065
48099,1.105
48101,1.065
48103,1.065
48107,1.065
48109,1.065
48111,1.05
48117,1.05
48121,1.065
48123,1.105
48125,1.065
48127,1.105
48129,1.05
48133,1.065
48135,1.065
48139,1.065
48141,1.075
48143,1.065
48145,1.105
48151,1.065
48155,1.065
48157,1.105
48161,1.105
48163,1.105
48165,1.065
48167,1.105
48169,1.065
48171,1.065
48173,1.065
48175,1.105
48177,1.105
48183,1.065
48185,1.105
48187,1.05
48195,1.05
48205,1.05
48207,1.065
48209,1.105
48211,1.065
48215,1.065
48217,1.075
48219,1.05
48221,1.065
48229,1.065
48231,1.065
48233,1.05
48235,1.065
48237,1.065
48247,1.105
48249,1.105
48255,1.105
48257,1.065
48261,1.105
48265,1.065
48267,1.065
48269,1.065
48271,1.105
48273,1.105
48279,1.05
48281,1.065
48285,1.105
48295,1.05
48297,1.105
48299,1.065
48301,1.065
48303,1.065
48305,1.065
48307,1.065
48309,1.105
48311,1.105
48321,1.105
48323,1.105
48331,1.105
48333,1.06
48337,1.065
48345,1.065
48347,1.065
48349,1.065
48353,1.065
48355,1.105
48357,1.05
48363,1.065
48367,1.065
48369,1.05
48371,1.065
48377,1.065
48379,1.065
48381,1.05
48383,1.065
48385,1.105
48387,1.065
48389,1.065
48391,1.105
48393,1.05
48397,1.065
48399,1.065
48401,1.075
48403,1.09
48405,1.065
48407,1.105
48409,1.105
48411,1.065
48413,1.065
48415,1.065
48417,1.065
48425,1.065
48427,1.105
48431,1.065
48433,1.065
48435,1.065
48437,1.05
48439,1.065
48445,1.065
48447,1.065
48449,1.065
48451,1.065
48453,1.105
48455,1.065
48461,1.065
48463,1.105
48465,1.105
48467,1.065
48469,1.105
48473,1.105
48475,1.2
48479,1.105
48481,1.105
48485,1.065
48487,1.065
48489,1.105
48495,1.065
48501,1.05
48503,1.065
48505,1.105
48507,1.105
