location,value
48003,4234.64
48005,3912.38
48007,1804.19
48009,4139.06
48013,4143.64
48015,3970.24
48017,4236.67
48019,4218.96
48021,4042.33
48023,4137.96
48025,4129.02
48029,4073.81
48031,4226.54
48033,4223.51
48035,4144.97
48037,3861.44
48039,3836.27
48041,4033.7
48043,4255.44
48045,4234.37
48051,4072.89
48053,4230.07
48059,4196.98
48063,3761.19
48065,4187.96
48069,4165.79
48075,4105.76
48079,4226.77
48081,4237.85
48083,4201.58
48085,4080.94
48087,4192.41
48089,4126.92
48091,4197.15
48093,4239.32
48095,4235.12
48097,4167.42
48099,4176.61
48101,4216.66
48103,4223.46
48107,4207.5
48109,4253.5
48111,4240.08
48117,4240.5
48121,4168.57
48123,4111.35
48125,4241.56
48127,4137.99
48129,4227.87
48133,4194.6
48135,4208.46
48139,4195.11
48141,4221.68
48143,4168.7
48145,4138.7
48151,4222.85
48155,4211.89
48157,4061.06
48161,4000.0
48163,4195.02
48165,4209.9
48167,3431.43
48169,4188.17
48171,4231.83
48173,4166.24
48175,4157.49
48177,4107.48
48183,3756.37
48185,4027.45
48187,4253.12
48195,4209.78
48205,4244.44
48207,4184.14
48209,4188.48
48211,4210.75
48215,4211.8
48217,4202.65
48219,4150.28
48221,4129.0
48229,4248.36
48231,4050.66
48233,4187.01
48235,4252.04
48237,4158.56
48247,4174.59
48249,4105.18
48255,4110.32
48257,4113.64
48261,4204.29
48265,4236.61
48267,4236.53
48269,4236.64
48271,4237.26
48273,4093.46
48279,4160.59
48281,4228.36
48285,4071.67
48295,4180.0
48297,4163.69
48299,4231.47
48301,4233.01
48303,4114.98
48305,4198.11
48307,4226.71
48309,4128.19
48311,4217.11
48321,4089.55
48323,4195.01
48331,4051.76
48333,4224.67
48337,4150.31
48345,4242.43
48347,3875.92
48349,4107.48
48353,4210.0
48355,4095.74
48357,4196.45
48363,4202.44
48367,4169.81
48369,4198.72
48371,4239.91
48377,4243.55
48379,3679.37
48381,4178.25
48383,4157.92
48385,4231.66
48387,3933.28
48389,4234.25
48391,4011.58
48393,4235.51
48397,3082.13
48399,4218.09
48401,4021.74
48403,3828.62
48405,3827.37
48407,3863.86
48409,4143.64
48411,4250.93
48413,4239.52
48415,4219.5
48417,4149.2
48425,4202.22
48427,4180.81
48431,4180.18
48433,4236.27
48435,4180.51
48437,4085.38
48439,3899.18
48445,4178.21
48447,4208.89
48449,3837.38
48451,4237.26
48453,4128.89
48455,3988.34
48461,4188.6
48463,4244.95
48465,4245.83
48467,4030.93
48469,4131.38
48473,3943.42
48475,4148.87
48479,4132.67
48481,4054.79
48485,4239.05
48487,4231.68
48489,4153.69
48495,4218.17
48501,4221.24
48503,4184.46
48505,4164.09
48507,4191.46
