hour,location,value
0,48003,0.0
1,48003,0.0
2,48003,0.0
3,48003,0.0
4,48003,0.0
5,48003,0.0
6,48003,0.0
7,48003,0.0
8,48003,59.496692
9,48003,1663.7900560000003
10,48003,2627.805852
11,48003,2539.0901440000002
12,48003,2375.63304
13,48003,2303.6441600000003
14,48003,2421.578884
15,48003,2587.36504
16,48003,2487.2158040000004
17,48003,1114.980712
18,48003,15.456436000000002
19,48003,0.0
20,48003,0.0
21,48003,0.0
22,48003,0.0
23,48003,0.0
24,48003,0.0
25,48003,0.0
26,48003,0.0
27,48003,0.0
28,48003,0.0
29,48003,0.0
30,48003,0.0
31,48003,464.11654400000003
32,48003,1969.9545280000002
33,48003,3052.1167800000003
34,48003,3147.607912
35,48003,3150.3604280000004
36,48003,3151.419088
37,48003,3144.6436639999997
38,48003,3130.45762
39,48003,3119.4475560000005
40,48003,2989.65584
41,48003,2767.548972
42,48003,1616.9972840000003
43,48003,155.834752
44,48003,0.0
45,48003,0.0
46,48003,0.0
47,48003,0.0
48,48003,0.0
49,48003,0.0
50,48003,0.0
51,48003,0.0
52,48003,0.0
53,48003,0.0
54,48003,1.6938560000000003
55,48003,1043.83876
56,48003,2479.8051840000003
57,48003,3049.575996
58,48003,3134.2687960000007
59,48003,3133.4218680000004
60,48003,3118.1771640000006
61,48003,3108.6492240000002
62,48003,3108.014028
63,48003,3100.391676
64,48003,3045.341356
65,48003,2866.216084
66,48003,2249.0173040000004
67,48003,827.8721200000001
68,48003,0.0
69,48003,0.0
70,48003,0.0
71,48003,0.0
72,48003,0.0
73,48003,0.0
74,48003,0.0
75,48003,0.0
76,48003,0.0
77,48003,0.0
78,48003,0.0
79,48003,15.244704
80,48003,1258.5350080000003
81,48003,2605.573992
82,48003,2861.7697120000003
83,48003,2820.6937040000003
84,48003,2667.3997360000003
85,48003,2597.104712
86,48003,2688.5729360000005
87,48003,2807.5663200000004
88,48003,2731.3428000000004
89,48003,1672.6828000000003
90,48003,216.390104
91,48003,0.0
92,48003,0.0
93,48003,0.0
94,48003,0.0
95,48003,0.0
0,48005,0.0
1,48005,0.0
2,48005,0.0
3,48005,0.0
4,48005,0.0
5,48005,0.0
6,48005,0.0
7,48005,0.0
8,48005,652.5849840000001
9,48005,1489.638685
10,48005,1705.2108230000001
11,48005,1804.194037
12,48005,1793.239373
13,48005,1760.766619
14,48005,1783.262804
15,48005,1821.995366
16,48005,1496.876588
17,48005,246.08870199999998
18,48005,0.0
19,48005,0.0
20,48005,0.0
21,48005,0.0
22,48005,0.0
23,48005,0.0
24,48005,0.0
25,48005,0.0
26,48005,0.0
27,48005,0.0
28,48005,0.0
29,48005,0.0
30,48005,5.281713000000001
31,48005,525.4326339999996
32,48005,1490.61678
33,48005,1959.124285
34,48005,2070.431496
35,48005,2030.720839
36,48005,2108.381582
37,48005,2082.364255
38,48005,2152.787095
39,48005,2018.5924610000002
40,48005,1808.693274
41,48005,1244.1368400000001
42,48005,342.137631
43,48005,0.0
44,48005,0.0
45,48005,0.0
46,48005,0.0
47,48005,0.0
48,48005,0.0
49,48005,0.0
50,48005,0.0
51,48005,0.0
52,48005,0.0
53,48005,0.0
54,48005,212.833472
55,48005,1467.338119
56,48005,2292.067823
57,48005,2526.419385
58,48005,2598.0159390000003
59,48005,2586.278799
60,48005,2533.657288
61,48005,2534.048526
62,48005,2497.859011
63,48005,2440.542644
64,48005,2291.285347
65,48005,1992.183896
66,48005,1112.485253
67,48005,41.275609
68,48005,0.0
69,48005,0.0
70,48005,0.0
71,48005,0.0
72,48005,0.0
73,48005,0.0
74,48005,0.0
75,48005,0.0
76,48005,0.0
77,48005,0.0
78,48005,0.0
79,48005,341.159536
80,48005,1656.501692
81,48005,2174.109566
82,48005,2268.789162
83,48005,2101.3392980000003
84,48005,2016.83189
85,48005,2065.3454020000004
86,48005,2000.008656
87,48005,2070.822734
88,48005,1626.3763660000002
89,48005,523.0852060000001
90,48005,0.0
91,48005,0.0
92,48005,0.0
93,48005,0.0
94,48005,0.0
95,48005,0.0
0,48007,0.0
1,48007,0.0
2,48007,0.0
3,48007,0.0
4,48007,0.0
5,48007,0.0
6,48007,0.0
7,48007,0.0
8,48007,268.0124245
9,48007,569.9436209999999
10,48007,660.28843525
11,48007,819.8690407499998
12,48007,857.84724025
13,48007,845.443434
14,48007,876.88144475
15,48007,975.1195902500001
16,48007,860.3280015
17,48007,313.25248875
18,48007,0.0
19,48007,0.0
20,48007,0.0
21,48007,0.0
22,48007,0.0
23,48007,0.0
24,48007,0.0
25,48007,0.0
26,48007,0.0
27,48007,0.0
28,48007,0.0
29,48007,0.0
30,48007,0.0
31,48007,140.45619150000002
32,48007,582.933789
33,48007,855.727317
34,48007,872.6415982499999
35,48007,1059.55568225
36,48007,1070.7867649999998
37,48007,1082.0629525
38,48007,1073.80878325
39,48007,1131.3624442500002
40,48007,1090.091598
41,48007,810.8931955
42,48007,257.0068655
43,48007,0.0
44,48007,0.0
45,48007,0.0
46,48007,0.0
47,48007,0.0
48,48007,0.0
49,48007,0.0
50,48007,0.0
51,48007,0.0
52,48007,0.0
53,48007,0.0
54,48007,23.3642605
55,48007,553.11954925
56,48007,1116.11703875
57,48007,1294.6416392500003
58,48007,1342.00162675
59,48007,1346.3767875
60,48007,1346.466997
61,48007,1346.466997
62,48007,1346.466997
63,48007,1346.3767875
64,48007,1308.98494975
65,48007,1138.8949375
66,48007,666.828624
67,48007,69.461315
68,48007,0.0
69,48007,0.0
70,48007,0.0
71,48007,0.0
72,48007,0.0
73,48007,0.0
74,48007,0.0
75,48007,0.0
76,48007,0.0
77,48007,0.0
78,48007,0.0
79,48007,114.385646
80,48007,687.035552
81,48007,949.8158255
82,48007,1095.7747965
83,48007,1079.086039
84,48007,1088.3776175
85,48007,1039.6644875
86,48007,1067.1783850000002
87,48007,1115.2600485
88,48007,979.5849605000001
89,48007,372.29460650000004
90,48007,0.0
91,48007,0.0
92,48007,0.0
93,48007,0.0
94,48007,0.0
95,48007,0.0
0,48009,0.0
1,48009,0.0
2,48009,0.0
3,48009,0.0
4,48009,0.0
5,48009,0.0
6,48009,0.0
7,48009,0.0
8,48009,220.40494500000003
9,48009,1635.5495590000003
10,48009,2267.7909740000005
11,48009,2227.435139
12,48009,2152.518153
13,48009,2126.8559809999997
14,48009,2257.4433240000008
15,48009,2218.329207
16,48009,1896.5172920000002
17,48009,463.98862600000007
18,48009,0.0
19,48009,0.0
20,48009,0.0
21,48009,0.0
22,48009,0.0
23,48009,0.0
24,48009,0.0
25,48009,0.0
26,48009,0.0
27,48009,0.0
28,48009,0.0
29,48009,0.0
30,48009,0.0
31,48009,567.0512200000001
32,48009,1846.434666
33,48009,2458.394687
34,48009,2644.6523870000005
35,48009,2901.8949660000003
36,48009,2918.8651120000004
37,48009,2902.929731
38,48009,2938.525647000001
39,48009,2943.6994720000007
40,48009,2762.408644
41,48009,2472.053585
42,48009,1073.4652109999997
43,48009,3.9321070000000002
44,48009,0.0
45,48009,0.0
46,48009,0.0
47,48009,0.0
48,48009,0.0
49,48009,0.0
50,48009,0.0
51,48009,0.0
52,48009,0.0
53,48009,0.0
54,48009,67.673631
55,48009,1203.2247419999997
56,48009,2487.988966
57,48009,2894.237705
58,48009,2968.1199260000008
59,48009,2967.0851610000004
60,48009,2935.6283050000006
61,48009,2893.2029400000006
62,48009,2919.6929240000004
63,48009,2895.8933290000004
64,48009,2821.5972020000004
65,48009,2544.694088
66,48009,1759.514406
67,48009,470.404169
68,48009,0.0
69,48009,0.0
70,48009,0.0
71,48009,0.0
72,48009,0.0
73,48009,0.0
74,48009,0.0
75,48009,0.0
76,48009,0.0
77,48009,0.0
78,48009,0.0
79,48009,53.393874000000004
80,48009,1371.684484
81,48009,2548.005336
82,48009,2628.3031
83,48009,2500.820052
84,48009,2420.522288
85,48009,2435.0089980000002
86,48009,2547.177524
87,48009,2628.7170060000003
88,48009,2391.962774
89,48009,992.5465880000002
90,48009,0.0
91,48009,0.0
92,48009,0.0
93,48009,0.0
94,48009,0.0
95,48009,0.0
0,48013,0.0
1,48013,0.0
2,48013,0.0
3,48013,0.0
4,48013,0.0
5,48013,0.0
6,48013,0.0
7,48013,0.0
8,48013,489.0531109999996
9,48013,1762.497274
10,48013,1859.665632
11,48013,2038.0493340000003
12,48013,1960.7704480000002
13,48013,2160.1831230000003
14,48013,2252.793477
15,48013,2383.110955
16,48013,2197.786656
17,48013,944.439147
18,48013,0.0
19,48013,0.0
20,48013,0.0
21,48013,0.0
22,48013,0.0
23,48013,0.0
24,48013,0.0
25,48013,0.0
26,48013,0.0
27,48013,0.0
28,48013,0.0
29,48013,0.0
30,48013,0.0
31,48013,282.07829300000003
32,48013,1498.340224
33,48013,1696.302625
34,48013,2124.962183
35,48013,2189.188603
36,48013,2342.0889190000003
37,48013,2491.2599590000004
38,48013,2473.8566710000005
39,48013,2550.7211930000003
40,48013,2464.844254
41,48013,1826.5165120000001
42,48013,683.9077820000001
43,48013,0.0
44,48013,0.0
45,48013,0.0
46,48013,0.0
47,48013,0.0
48,48013,0.0
49,48013,0.0
50,48013,0.0
51,48013,0.0
52,48013,0.0
53,48013,0.0
54,48013,25.069022
55,48013,1267.850249
56,48013,2559.837201
57,48013,2934.0078930000004
58,48013,3054.0698620000003
59,48013,3063.703825
60,48013,3051.1693140000007
61,48013,3033.351662
62,48013,3022.578198
63,48013,2974.2012010000003
64,48013,2871.9568840000006
65,48013,2533.8358600000006
66,48013,1631.869023
67,48013,266.746825
68,48013,0.0
69,48013,0.0
70,48013,0.0
71,48013,0.0
72,48013,0.0
73,48013,0.0
74,48013,0.0
75,48013,0.0
76,48013,0.0
77,48013,0.0
78,48013,0.0
79,48013,146.06331
80,48013,1470.785018
81,48013,2147.234248
82,48013,2209.388848
83,48013,2381.349908
84,48013,2267.399808
85,48013,2364.1538020000003
86,48013,2423.200672
87,48013,2257.455072
88,48013,1918.090956
89,48013,785.21978
90,48013,2.693366
91,48013,0.0
92,48013,0.0
93,48013,0.0
94,48013,0.0
95,48013,0.0
0,48015,0.0
1,48015,0.0
2,48015,0.0
3,48015,0.0
4,48015,0.0
5,48015,0.0
6,48015,0.0
7,48015,0.0
8,48015,623.724704
9,48015,1595.8379679999998
10,48015,2149.88496
11,48015,2119.1155999999996
12,48015,2009.338464
13,48015,2053.805152
14,48015,2167.5525279999997
15,48015,2095.095648
16,48015,1763.77912
17,48015,533.7987679999999
18,48015,0.0
19,48015,0.0
20,48015,0.0
21,48015,0.0
22,48015,0.0
23,48015,0.0
24,48015,0.0
25,48015,0.0
26,48015,0.0
27,48015,0.0
28,48015,0.0
29,48015,0.0
30,48015,0.0
31,48015,551.267824
32,48015,1359.013152
33,48015,1565.0686079999998
34,48015,1919.015504
35,48015,2062.5396800000003
36,48015,2252.714176
37,48015,2441.1020639999997
38,48015,2529.638416
39,48015,2284.674608
40,48015,1996.03816
41,48015,1425.5146719999998
42,48015,476.230288
43,48015,0.0
44,48015,0.0
45,48015,0.0
46,48015,0.0
47,48015,0.0
48,48015,0.0
49,48015,0.0
50,48015,0.0
51,48015,0.0
52,48015,0.0
53,48015,0.0
54,48015,110.17416
55,48015,1370.328336
56,48015,2487.5538719999995
57,48015,2828.9945119999998
58,48015,2896.0915679999994
59,48015,2891.5257919999995
60,48015,2869.0939359999998
61,48015,2830.3840959999998
62,48015,2811.3269439999995
63,48015,2801.202832
64,48015,2696.189984
65,48015,2351.7716639999994
66,48015,1295.2907999999998
67,48015,115.93100799999999
68,48015,0.0
69,48015,0.0
70,48015,0.0
71,48015,0.0
72,48015,0.0
73,48015,0.0
74,48015,0.0
75,48015,0.0
76,48015,0.0
77,48015,0.0
78,48015,0.0
79,48015,263.623936
80,48015,1766.7567999999999
81,48015,2347.999936
82,48015,2372.615424
83,48015,2251.1260799999995
84,48015,2157.031392
85,48015,2195.1456959999996
86,48015,2288.446336
87,48015,2173.3093759999997
88,48015,1822.7371839999998
89,48015,647.943168
90,48015,0.0
91,48015,0.0
92,48015,0.0
93,48015,0.0
94,48015,0.0
95,48015,0.0
0,48017,0.0
1,48017,0.0
2,48017,0.0
3,48017,0.0
4,48017,0.0
5,48017,0.0
6,48017,0.0
7,48017,0.0
8,48017,19.700515499999998
9,48017,1435.383796
10,48017,2535.4351614999996
11,48017,2499.211633
12,48017,2303.6893124999997
13,48017,2201.1618985
14,48017,2357.4950215
15,48017,2534.1641605
16,48017,2413.630899
17,48017,1074.2076785
18,48017,1.0591675
19,48017,0.0
20,48017,0.0
21,48017,0.0
22,48017,0.0
23,48017,0.0
24,48017,0.0
25,48017,0.0
26,48017,0.0
27,48017,0.0
28,48017,0.0
29,48017,0.0
30,48017,0.0
31,48017,502.2572285
32,48017,1922.600846
33,48017,3073.0685845
34,48017,3152.506147
35,48017,3161.826821
36,48017,3158.4374850000004
37,48017,3091.921766
38,48017,3083.024759
39,48017,3079.4235895
40,48017,2918.6419630000005
41,48017,2659.781426
42,48017,1641.7096249999995
43,48017,164.59462949999957
44,48017,0.0
45,48017,0.0
46,48017,0.0
47,48017,0.0
48,48017,0.0
49,48017,0.0
50,48017,0.0
51,48017,0.0
52,48017,0.0
53,48017,0.0
54,48017,2.965669
55,48017,893.7255365
56,48017,2528.020989
57,48017,3044.894729
58,48017,3142.338139
59,48017,3152.929814
60,48017,3128.1452945
61,48017,3090.6507650000003
62,48017,3093.8282675000005
63,48017,3126.4506265
64,48017,3115.2234510000003
65,48017,2939.1898125
66,48017,2414.054566
67,48017,903.0462105
68,48017,0.0
69,48017,0.0
70,48017,0.0
71,48017,0.0
72,48017,0.0
73,48017,0.0
74,48017,0.0
75,48017,0.0
76,48017,0.0
77,48017,0.0
78,48017,0.0
79,48017,3.813003
80,48017,1232.447303
81,48017,2712.739801
82,48017,2850.431576
83,48017,2720.789474
84,48017,2641.5637450000004
85,48017,2577.590028
86,48017,2628.4300679999997
87,48017,2737.312487
88,48017,2631.819404
89,48017,1571.380903
90,48017,120.745095
91,48017,0.0
92,48017,0.0
93,48017,0.0
94,48017,0.0
95,48017,0.0
0,48019,0.0
1,48019,0.0
2,48019,0.0
3,48019,0.0
4,48019,0.0
5,48019,0.0
6,48019,0.0
7,48019,0.0
8,48019,433.49814
9,48019,1744.329012
10,48019,2288.363904
11,48019,2262.5227740000005
12,48019,2340.99543
13,48019,2334.034146
14,48019,2445.94206
15,48019,2549.83395
16,48019,2424.636312
17,48019,985.0216859999999
18,48019,0.0
19,48019,0.0
20,48019,0.0
21,48019,0.0
22,48019,0.0
23,48019,0.0
24,48019,0.0
25,48019,0.0
26,48019,0.0
27,48019,0.0
28,48019,0.0
29,48019,0.0
30,48019,0.0
31,48019,272.228394
32,48019,1303.342218
33,48019,1406.1793679999998
34,48019,1777.0259520000002
35,48019,2048.30508
36,48019,2528.73915
37,48019,2713.740546
38,48019,2684.102352
39,48019,2494.249152
40,48019,2236.365222
41,48019,2017.19025
42,48019,893.5757279999999
43,48019,1.476636
44,48019,0.0
45,48019,0.0
46,48019,0.0
47,48019,0.0
48,48019,0.0
49,48019,0.0
50,48019,0.0
51,48019,0.0
52,48019,0.0
53,48019,0.0
54,48019,19.407216
55,48019,1217.275434
56,48019,2572.51086
57,48019,2991.664536
58,48019,3129.730002
59,48019,3137.8515
60,48019,3124.561776
61,48019,3114.11985
62,48019,3109.057098
63,48019,3058.324104
64,48019,2989.027686
65,48019,2723.655102
66,48019,1918.8884819999998
67,48019,386.984106
68,48019,0.0
69,48019,0.0
70,48019,0.0
71,48019,0.0
72,48019,0.0
73,48019,0.0
74,48019,0.0
75,48019,0.0
76,48019,0.0
77,48019,0.0
78,48019,0.0
79,48019,75.519384
80,48019,1312.729404
81,48019,2188.1636040000003
82,48019,2365.78182
83,48019,2370.4226759999997
84,48019,2405.0181479999997
85,48019,2418.5188200000002
