location,value
48003,49.76
48005,4.92
48007,8.8
48009,22.43
48013,32.97
48015,7.97
48017,23.06
48019,8.7
48021,7.27
48023,17.47
48025,13.47
48029,5.69
48031,14.29
48033,29.33
48035,5.34
48037,8.42
48039,9.92
48041,16.64
48043,31.94
48045,32.92
48051,19.99
48053,18.26
48059,25.53
48063,7.29
48065,7.08
48069,21.64
48075,22.33
48079,26.15
48081,16.5
48083,28.78
48085,6.49
48087,21.71
48089,7.22
48091,10.8
48093,84.06
48095,9.24
48097,5.72
48099,20.12
48101,19.01
48103,22.08
48107,20.36
48109,29.21
48111,46.06
48117,49.51
48121,12.15
48123,13.93
48125,22.57
48127,43.42
48129,11.97
48133,24.42
48135,27.75
48139,13.61
48141,41.63
48143,15.18
48145,5.75
48151,12.33
48155,37.04
48157,5.45
48161,2.67
48163,18.16
48165,29.06
48167,1.4
48169,28.42
48171,32.37
48173,27.06
48175,18.91
48177,11.45
48183,9.12
48185,4.92
48187,233.14
48195,23.88
48205,68.71
48207,149.86
48209,8.6
48211,19.26
48215,269.42
48217,1599.64
48219,16.38
48221,9.17
48229,18.42
48231,6.33
48233,18.67
48235,25.66
48237,20.99
48247,30.89
48249,14.82
48255,16.77
48257,12.82
48261,31.31
48265,23.08
48267,21.54
48269,39.97
48271,25.82
48273,16.03
48279,15.11
48281,17.22
48285,19.83
48295,5.7
48297,20.51
48299,12.26
48301,24.54
48303,11.08
48305,19.03
48307,21.11
48309,11.44
48311,26.93
48321,19.99
48323,16.64
48331,19.18
48333,13.96
48337,4.63
48345,11.02
48347,16.82
48349,15.97
48353,12.06
48355,14.55
48357,29.42
48363,19.56
48367,18.27
48369,22.63
48371,31.12
48377,16.49
48379,4.07
48381,17.54
48383,34.31
48385,35.61
48387,11.58
48389,14.55
48391,17.32
48393,25.34
48397,5.94
48399,25.67
48401,17.27
48403,53.34
48405,22.35
48407,17.3
48409,13.53
48411,14.53
48413,32.21
48415,26.7
48417,18.48
48425,9.89
48427,18.36
48431,42.85
48433,20.81
48435,32.91
48437,7.41
48439,3.51
48445,10.72
48447,22.98
48449,9.2
48451,21.98
48453,10.39
48455,20.79
48461,18.1
48463,27.52
48465,52.14
48467,5.25
48469,17.21
48473,12.88
48475,1341.65
48479,12.91
48481,20.96
48485,232.54
48487,27.46
48489,8.22
48495,25.23
48501,17.0
48503,28.7
48505,19.05
48507,34.83
