location,value
48003,369.6
48005,508.6
48007,746.75
48009,280.75
48013,663.43
48015,631.03
48017,214.86
48019,561.95
48021,578.6
48023,284.27
48025,706.01
48029,585.98
48031,536.35
48033,329.58
48035,434.19
48037,352.23
48039,687.15
48041,574.31
48043,588.84
48045,157.06
48051,567.08
48053,496.21
48059,380.32
48063,396.8
48065,90.13
48069,185.12
48075,183.35
48079,274.53
48081,394.94
48083,427.74
48085,426.9
48087,159.82
48089,638.0
48091,571.99
48093,218.15
48095,445.12
48097,352.67
48099,480.88
48101,220.8
48103,442.0
48107,255.46
48109,520.85
48111,37.77
48117,135.39
48121,389.28
48123,665.76
48125,240.41
48127,685.6
48129,142.42
48133,388.06
48135,398.41
48139,73.35
48141,484.22
48143,425.61
48145,533.02
48151,314.0
48155,238.95
48157,675.79
48161,503.93
48163,652.42
48165,323.4
48167,661.2
48169,297.09
48171,516.22
48173,385.91
48175,690.98
48177,622.48
48183,418.29
48185,590.72
48187,276.94
48195,15.31
48205,108.69
48207,257.62
48209,559.5
48211,55.49
48215,597.07
48217,1225.08
48219,237.84
48221,411.23
48229,509.47
48231,423.69
48233,48.04
48235,418.34
48237,328.94
48247,776.78
48249,726.85
48255,658.25
48257,466.93
48261,834.04
48265,551.63
48267,513.22
48269,244.97
48271,579.16
48273,782.31
48279,211.86
48281,480.24
48285,661.55
48295,65.0
48297,709.55
48299,498.05
48301,410.47
48303,232.27
48305,267.05
48307,476.86
48309,473.81
48311,703.84
48321,705.07
48323,642.92
48331,555.71
48333,437.16
48337,321.54
48345,215.55
48347,478.32
48349,498.52
48353,354.67
48355,758.64
48357,37.41
48363,358.71
48367,399.49
48369,181.67
48371,467.19
48377,534.08
48379,431.74
48381,133.23
48383,444.06
48385,541.77
48387,349.59
48389,477.71
48391,726.29
48393,66.22
48397,437.07
48399,416.58
48401,467.66
48403,468.33
48405,480.29
48407,588.49
48409,728.56
48411,477.56
48413,460.51
48415,305.63
48417,348.77
48425,422.78
48427,824.53
48431,386.03
48433,290.09
48435,514.64
48437,150.45
48439,388.92
48445,297.61
48447,291.86
48449,378.11
48451,452.45
48453,563.92
48455,544.87
48461,452.64
48463,589.35
48465,530.58
48467,455.32
48469,679.74
48473,627.05
48475,1083.86
48479,761.31
48481,673.02
48485,122.41
48487,261.97
48489,847.07
48495,400.62
48501,282.09
48503,317.49
48505,781.25
48507,647.31
