location,value
48003,1.0
48005,1.0
48007,1.0
48009,1.0
48013,1.0
48015,1.0
48017,1.4695
48019,1.0
48021,1.0
48023,1.0
48025,1.0
48029,1.0
48031,1.0
48033,1.0
48035,1.0
48037,1.4695
48039,1.0
48041,1.0
48043,1.0
48045,1.0
48051,1.0
48053,1.0
48059,1.0
48063,1.4695
48065,1.4695
48069,1.4695
48075,1.0
48079,1.4695
48081,1.0
48083,1.0
48085,1.0
48087,1.4695
48089,1.0
48091,1.0
48093,1.0
48095,1.0
48097,1.0
48099,1.0
48101,1.0
48103,1.0
48107,1.0
48109,1.0
48111,1.4695
48117,1.4695
48121,1.0
48123,1.0
48125,1.0
48127,1.0
48129,1.4695
48133,1.0
48135,1.0
48139,1.0
48141,2.1179
48143,1.0
48145,1.0
48151,1.0
48155,1.0
48157,1.0
48161,1.0
48163,1.0
48165,1.4695
48167,1.0
48169,1.4695
48171,1.0
48173,1.0
48175,1.0
48177,1.0
48183,1.4695
48185,1.0
48187,1.0
48195,1.4695
48205,1.4695
48207,1.0
48209,1.0
48211,1.4695
48215,1.0
48217,1.0
48219,1.4695
48221,1.0
48229,1.0
48231,1.0
48233,1.4695
48235,1.0
48237,1.0
48247,1.0
48249,1.0
48255,1.0
48257,1.0
48261,1.0
48265,1.0
48267,1.0
48269,1.0
48271,1.0
48273,1.0
48279,1.4695
48281,1.0
48285,1.0
48295,1.4695
48297,1.0
48299,1.0
48301,1.0
48303,1.4695
48305,1.4695
48307,1.0
48309,1.0
48311,1.0
48321,1.0
48323,1.0
48331,1.0
48333,1.0
48337,1.0
48345,1.0
48347,1.4695
48349,1.0
48353,1.0
48355,1.0
48357,1.4695
48363,1.0
48367,1.0
48369,1.4695
48371,1.0
48377,1.0
48379,1.0
48381,1.4695
48383,1.0
48385,1.0
48387,1.0
48389,1.0
48391,1.0
48393,1.4695
48397,1.0
48399,1.0
48401,1.0
48403,1.4695
48405,1.4695
48407,1.4695
48409,1.0
48411,1.0
48413,1.0
48415,1.0
48417,1.0
48425,1.0
48427,1.0
48431,1.0
48433,1.0
48435,1.0
48437,1.4695
48439,1.0
48445,1.4695
48447,1.0
48449,1.4695
48451,1.0
48453,1.0
48455,1.4695
48461,1.0
48463,1.0
48465,1.0
48467,1.0
48469,1.0
48473,1.0
48475,1.0
48479,1.0
48481,1.0
48485,1.0
48487,1.0
48489,1.0
48495,1.0
48501,1.4695
48503,1.0
48505,1.0
48507,1.0
