hour,location,value
0,48003,22902.0
0,48005,61072.0
0,48007,61072.0
0,48009,22902.0
0,48013,61072.0
0,48015,61072.0
0,48017,22902.0
0,48019,61072.0
0,48021,61072.0
0,48023,22902.0
0,48025,61072.0
0,48029,61072.0
0,48031,22902.0
0,48033,22902.0
0,48035,61072.0
0,48037,22902.0
0,48039,61072.0
0,48041,61072.0
0,48043,22902.0
0,48045,22902.0
0,48051,61072.0
0,48053,22902.0
0,48059,22902.0
0,48063,22902.0
0,48065,22902.0
0,48069,22902.0
0,48075,22902.0
0,48079,22902.0
0,48081,22902.0
0,48083,22902.0
0,48085,22902.0
0,48087,22902.0
0,48089,61072.0
0,48091,61072.0
0,48093,22902.0
0,48095,22902.0
0,48097,22902.0
0,48099,61072.0
0,48101,22902.0
0,48103,22902.0
0,48107,22902.0
0,48109,22902.0
0,48111,22902.0
0,48117,22902.0
0,48121,22902.0
0,48123,61072.0
0,48125,22902.0
0,48127,61072.0
0,48129,22902.0
0,48133,22902.0
0,48135,22902.0
0,48139,22902.0
0,48141,7634.0
0,48143,22902.0
0,48145,61072.0
0,48151,22902.0
0,48155,22902.0
0,48157,61072.0
0,48161,61072.0
0,48163,61072.0
0,48165,22902.0
0,48167,61072.0
0,48169,22902.0
0,48171,22902.0
0,48173,22902.0
0,48175,61072.0
0,48177,61072.0
0,48183,22902.0
0,48185,61072.0
0,48187,22902.0
0,48195,22902.0
0,48205,22902.0
0,48207,22902.0
0,48209,61072.0
0,48211,22902.0
0,48215,22902.0
0,48217,7634.0
0,48219,22902.0
0,48221,22902.0
0,48229,22902.0
0,48231,22902.0
0,48233,22902.0
0,48235,22902.0
0,48237,22902.0
0,48247,61072.0
0,48249,61072.0
0,48255,61072.0
0,48257,22902.0
0,48261,61072.0
0,48265,22902.0
0,48267,22902.0
0,48269,22902.0
0,48271,61072.0
0,48273,61072.0
0,48279,22902.0
0,48281,22902.0
0,48285,61072.0
0,48295,22902.0
0,48297,61072.0
0,48299,22902.0
0,48301,22902.0
0,48303,22902.0
0,48305,22902.0
0,48307,22902.0
0,48309,61072.0
0,48311,61072.0
0,48321,61072.0
0,48323,61072.0
0,48331,61072.0
0,48333,22902.0
0,48337,22902.0
0,48345,22902.0
0,48347,22902.0
0,48349,22902.0
0,48353,22902.0
0,48355,61072.0
0,48357,22902.0
0,48363,22902.0
0,48367,22902.0
0,48369,22902.0
0,48371,22902.0
0,48377,22902.0
0,48379,22902.0
0,48381,22902.0
0,48383,22902.0
0,48385,61072.0
0,48387,22902.0
0,48389,22902.0
0,48391,61072.0
0,48393,22902.0
0,48397,22902.0
0,48399,22902.0
0,48401,30536.0
0,48403,61072.0
0,48405,22902.0
0,48407,61072.0
0,48409,61072.0
0,48411,22902.0
0,48413,22902.0
0,48415,22902.0
0,48417,22902.0
0,48425,22902.0
0,48427,61072.0
0,48431,22902.0
0,48433,22902.0
0,48435,22902.0
0,48437,22902.0
0,48439,22902.0
0,48445,22902.0
0,48447,22902.0
0,48449,22902.0
0,48451,22902.0
0,48453,61072.0
0,48455,0.0
0,48461,22902.0
0,48463,61072.0
0,48465,61072.0
0,48467,22902.0
0,48469,61072.0
0,48473,61072.0
0,48475,45804.0
0,48479,61072.0
0,48481,61072.0
0,48485,22902.0
0,48487,22902.0
0,48489,61072.0
0,48495,22902.0
0,48501,22902.0
0,48503,22902.0
0,48505,61072.0
0,48507,61072.0
1,48003,16637.999999999996
1,48005,44368.0
1,48007,44368.0
1,48009,16637.999999999996
1,48013,44368.0
1,48015,44368.0
1,48017,16637.999999999996
1,48019,44368.0
1,48021,44368.0
1,48023,16637.999999999996
1,48025,44368.0
1,48029,44368.0
1,48031,16637.999999999996
1,48033,16637.999999999996
1,48035,44368.0
1,48037,16637.999999999996
1,48039,44368.0
1,48041,44368.0
1,48043,16637.999999999996
1,48045,16637.999999999996
1,48051,44368.0
1,48053,16637.999999999996
1,48059,16637.999999999996
1,48063,16637.999999999996
1,48065,16637.999999999996
1,48069,16637.999999999996
1,48075,16637.999999999996
1,48079,16637.999999999996
1,48081,16637.999999999996
1,48083,16637.999999999996
1,48085,16637.999999999996
1,48087,16637.999999999996
1,48089,44368.0
1,48091,44368.0
1,48093,16637.999999999996
1,48095,16637.999999999996
1,48097,16637.999999999996
1,48099,44368.0
1,48101,16637.999999999996
1,48103,16637.999999999996
1,48107,16637.999999999996
1,48109,16637.999999999996
1,48111,16637.999999999996
1,48117,16637.999999999996
1,48121,16637.999999999996
1,48123,44368.0
1,48125,16637.999999999996
1,48127,44368.0
1,48129,16637.999999999996
1,48133,16637.999999999996
1,48135,16637.999999999996
1,48139,16637.999999999996
1,48141,5546.0
1,48143,16637.999999999996
1,48145,44368.0
1,48151,16637.999999999996
1,48155,16637.999999999996
1,48157,44368.0
1,48161,44368.0
1,48163,44368.0
1,48165,16637.999999999996
1,48167,44368.0
1,48169,16637.999999999996
1,48171,16637.999999999996
1,48173,16637.999999999996
1,48175,44368.0
1,48177,44368.0
1,48183,16637.999999999996
1,48185,44368.0
1,48187,16637.999999999996
1,48195,16637.999999999996
1,48205,16637.999999999996
1,48207,16637.999999999996
1,48209,44368.0
1,48211,16637.999999999996
1,48215,16637.999999999996
1,48217,5546.0
1,48219,16637.999999999996
1,48221,16637.999999999996
1,48229,16637.999999999996
1,48231,16637.999999999996
1,48233,16637.999999999996
1,48235,16637.999999999996
1,48237,16637.999999999996
1,48247,44368.0
1,48249,44368.0
1,48255,44368.0
1,48257,16637.999999999996
1,48261,44368.0
1,48265,16637.999999999996
1,48267,16637.999999999996
1,48269,16637.999999999996
1,48271,44368.0
1,48273,44368.0
1,48279,16637.999999999996
1,48281,16637.999999999996
1,48285,44368.0
1,48295,16637.999999999996
1,48297,44368.0
1,48299,16637.999999999996
1,48301,16637.999999999996
1,48303,16637.999999999996
1,48305,16637.999999999996
1,48307,16637.999999999996
1,48309,44368.0
1,48311,44368.0
1,48321,44368.0
1,48323,44368.0
1,48331,44368.0
1,48333,16637.999999999996
1,48337,16637.999999999996
1,48345,16637.999999999996
1,48347,16637.999999999996
1,48349,16637.999999999996
1,48353,16637.999999999996
1,48355,44368.0
1,48357,16637.999999999996
1,48363,16637.999999999996
1,48367,16637.999999999996
1,48369,16637.999999999996
1,48371,16637.999999999996
1,48377,16637.999999999996
1,48379,16637.999999999996
1,48381,16637.999999999996
1,48383,16637.999999999996
1,48385,44368.0
1,48387,16637.999999999996
1,48389,16637.999999999996
1,48391,44368.0
1,48393,16637.999999999996
1,48397,16637.999999999996
1,48399,16637.999999999996
1,48401,22184.0
1,48403,44368.0
1,48405,16637.999999999996
1,48407,44368.0
1,48409,44368.0
1,48411,16637.999999999996
1,48413,16637.999999999996
1,48415,16637.999999999996
1,48417,16637.999999999996
1,48425,16637.999999999996
1,48427,44368.0
1,48431,16637.999999999996
1,48433,16637.999999999996
1,48435,16637.999999999996
1,48437,16637.999999999996
1,48439,16637.999999999996
1,48445,16637.999999999996
1,48447,16637.999999999996
1,48449,16637.999999999996
1,48451,16637.999999999996
1,48453,44368.0
1,48455,0.0
1,48461,16637.999999999996
1,48463,44368.0
1,48465,44368.0
1,48467,16637.999999999996
1,48469,44368.0
1,48473,44368.0
1,48475,33275.99999999999
1,48479,44368.0
1,48481,44368.0
1,48485,16637.999999999996
1,48487,16637.999999999996
1,48489,44368.0
1,48495,16637.999999999996
1,48501,16637.999999999996
1,48503,16637.999999999996
1,48505,44368.0
1,48507,44368.0
2,48003,19572.0
2,48005,52192.0
2,48007,52192.0
2,48009,19572.0
2,48013,52192.0
2,48015,52192.0
2,48017,19572.0
2,48019,52192.0
2,48021,52192.0
2,48023,19572.0
2,48025,52192.0
2,48029,52192.0
2,48031,19572.0
2,48033,19572.0
2,48035,52192.0
2,48037,19572.0
2,48039,52192.0
2,48041,52192.0
2,48043,19572.0
2,48045,19572.0
2,48051,52192.0
2,48053,19572.0
2,48059,19572.0
2,48063,19572.0
2,48065,19572.0
2,48069,19572.0
2,48075,19572.0
2,48079,19572.0
2,48081,19572.0
2,48083,19572.0
2,48085,19572.0
2,48087,19572.0
2,48089,52192.0
2,48091,52192.0
2,48093,19572.0
2,48095,19572.0
2,48097,19572.0
2,48099,52192.0
2,48101,19572.0
2,48103,19572.0
2,48107,19572.0
2,48109,19572.0
2,48111,19572.0
2,48117,19572.0
2,48121,19572.0
2,48123,52192.0
2,48125,19572.0
2,48127,52192.0
2,48129,19572.0
2,48133,19572.0
2,48135,19572.0
2,48139,19572.0
2,48141,6524.0
2,48143,19572.0
2,48145,52192.0
2,48151,19572.0
2,48155,19572.0
2,48157,52192.0
2,48161,52192.0
2,48163,52192.0
2,48165,19572.0
2,48167,52192.0
2,48169,19572.0
2,48171,19572.0
2,48173,19572.0
2,48175,52192.0
2,48177,52192.0
2,48183,19572.0
2,48185,52192.0
2,48187,19572.0
2,48195,19572.0
2,48205,19572.0
2,48207,19572.0
2,48209,52192.0
2,48211,19572.0
2,48215,19572.0
2,48217,6524.0
2,48219,19572.0
2,48221,19572.0
2,48229,19572.0
2,48231,19572.0
2,48233,19572.0
2,48235,19572.0
2,48237,19572.0
2,48247,52192.0
2,48249,52192.0
2,48255,52192.0
2,48257,19572.0
2,48261,52192.0
2,48265,19572.0
2,48267,19572.0
2,48269,19572.0
2,48271,52192.0
2,48273,52192.0
2,48279,19572.0
2,48281,19572.0
2,48285,52192.0
2,48295,19572.0
2,48297,52192.0
2,48299,19572.0
2,48301,19572.0
2,48303,19572.0
2,48305,19572.0
2,48307,19572.0
2,48309,52192.0
2,48311,52192.0
2,48321,52192.0
2,48323,52192.0
2,48331,52192.0
2,48333,19572.0
2,48337,19572.0
2,48345,19572.0
2,48347,19572.0
2,48349,19572.0
2,48353,19572.0
2,48355,52192.0
2,48357,19572.0
2,48363,19572.0
2,48367,19572.0
2,48369,19572.0
2,48371,19572.0
2,48377,19572.0
2,48379,19572.0
2,48381,19572.0
2,48383,19572.0
2,48385,52192.0
2,48387,19572.0
2,48389,19572.0
2,48391,52192.0
2,48393,19572.0
