location,value
48003,294.0
48005,264.0
48007,246.0
48009,288.0
48013,276.0
48015,276.0
48017,288.0
48019,294.0
48021,282.0
48023,318.0
48025,264.0
48029,288.0
48031,294.0
48033,282.0
48035,288.0
48037,270.0
48039,264.0
48041,270.0
48043,330.0
48045,276.0
48051,276.0
48053,288.0
48059,300.0
48063,264.0
48065,330.0
48069,294.0
48075,300.0
48079,294.0
48081,348.0
48083,282.0
48085,288.0
48087,288.0
48089,282.0
48091,282.0
48093,324.0
48095,324.0
48097,294.0
48099,288.0
48101,294.0
48103,300.0
48107,282.0
48109,294.0
48111,318.0
48117,324.0
48121,288.0
48123,288.0
48125,300.0
48127,270.0
48129,288.0
48133,300.0
48135,288.0
48139,300.0
48141,294.0
48143,300.0
48145,264.0
48151,294.0
48155,288.0
48157,252.0
48161,282.0
48163,282.0
48165,294.0
48167,150.0
48169,294.0
48171,294.0
48173,288.0
48175,288.0
48177,282.0
48183,240.0
48185,288.0
48187,372.0
48195,318.0
48205,300.0
48207,288.0
48209,282.0
48211,294.0
48215,270.0
48217,300.0
48219,294.0
48221,300.0
48229,300.0
48231,282.0
48233,300.0
48235,312.0
48237,288.0
48247,330.0
48249,288.0
48255,282.0
48257,276.0
48261,288.0
48265,324.0
48267,312.0
48269,324.0
48271,306.0
48273,294.0
48279,306.0
48281,282.0
48285,270.0
48295,300.0
48297,288.0
48299,288.0
48301,288.0
48303,288.0
48305,288.0
48307,312.0
48309,288.0
48311,300.0
48321,270.0
48323,282.0
48331,282.0
48333,294.0
48337,300.0
48345,318.0
48347,264.0
48349,282.0
48353,336.0
48355,270.0
48357,306.0
48363,288.0
48367,282.0
48369,306.0
48371,348.0
48377,264.0
48379,282.0
48381,294.0
48383,300.0
48385,312.0
48387,288.0
48389,300.0
48391,270.0
48393,342.0
48397,210.0
48399,276.0
48401,264.0
48403,270.0
48405,276.0
48407,276.0
48409,276.0
48411,312.0
48413,300.0
48415,306.0
48417,300.0
48425,294.0
48427,294.0
48431,396.0
48433,294.0
48435,294.0
48437,300.0
48439,282.0
48445,294.0
48447,312.0
48449,276.0
48451,312.0
48453,282.0
48455,270.0
48461,318.0
48463,288.0
48465,288.0
48467,276.0
48469,270.0
48473,270.0
48475,294.0
48479,306.0
48481,276.0
48485,300.0
48487,342.0
48489,294.0
48495,294.0
48501,294.0
48503,300.0
48505,300.0
48507,270.0
