hour,location,value
0,48003,171.42159999999998
1,48003,170.1084
2,48003,155.41330000000002
3,48003,149.7146
4,48003,140.42909999999998
5,48003,129.10029999999998
6,48003,134.05419999999998
7,48003,112.9793
8,48003,125.55760000000001
9,48003,112.70490000000001
10,48003,70.93239999999999
11,48003,59.500699999999995
12,48003,58.677499999999995
13,48003,58.76569999999999
14,48003,63.16099999999999
15,48003,61.313700000000004
16,48003,64.63099999999999
17,48003,66.31169999999997
18,48003,65.08179999999999
19,48003,92.76679999999999
20,48003,132.2804
21,48003,144.942
22,48003,174.62619999999998
23,48003,185.4797
24,48003,206.04989999999998
25,48003,193.6529
26,48003,182.4956
27,48003,172.6123
28,48003,144.94689999999997
29,48003,134.2551
30,48003,121.27499999999999
31,48003,105.76159999999999
32,48003,75.50409999999998
33,48003,49.489999999999995
34,48003,42.3801
35,48003,38.518899999999974
36,48003,36.65199999999998
37,48003,37.4409
38,48003,31.32079999999999
39,48003,40.79249999999997
40,48003,49.76439999999998
41,48003,62.47009999999999
42,48003,68.58529999999999
43,48003,91.2576
44,48003,129.115
45,48003,161.6069
46,48003,224.25339999999997
47,48003,211.141
48,48003,181.19709999999998
49,48003,182.79939999999996
50,48003,154.4921
51,48003,132.0942
52,48003,120.13819999999998
53,48003,119.47179999999997
54,48003,114.3562
55,48003,100.38629999999999
56,48003,62.49459999999998
57,48003,47.8044
58,48003,30.88959999999998
59,48003,19.53139999999999
60,48003,16.625700000000002
61,48003,16.949099999999973
62,48003,15.1704
63,48003,18.12509999999997
64,48003,22.510599999999982
65,48003,26.27379999999998
66,48003,29.1795
67,48003,39.59689999999999
68,48003,74.7593
69,48003,104.63949999999998
70,48003,159.88700000000003
71,48003,181.3392
72,48003,157.388
73,48003,150.7142
74,48003,141.73739999999998
75,48003,131.17299999999997
76,48003,118.5702
77,48003,111.4652
78,48003,88.8664
79,48003,77.19459999999998
80,48003,63.67059999999998
81,48003,43.31599999999999
82,48003,23.833599999999983
83,48003,18.24759999999998
84,48003,16.76779999999999
85,48003,13.3182
86,48003,13.86699999999998
87,48003,14.141399999999999
88,48003,15.35659999999999
89,48003,17.4636
90,48003,24.39219999999998
91,48003,42.8358
92,48003,75.12679999999999
93,48003,105.3696
94,48003,137.984
95,48003,147.882
0,48005,122.35739999999998
1,48005,134.23080000000002
2,48005,123.0438
3,48005,137.84099999999998
4,48005,122.595
5,48005,127.58460000000001
6,48005,125.4594
7,48005,117.5724
8,48005,122.87219999999999
9,48005,81.2196
10,48005,50.2392
11,48005,42.306
12,48005,40.0158
13,48005,43.032000000000004
14,48005,48.1866
15,48005,44.2794
16,48005,46.0614
17,48005,44.1342
18,48005,77.6094
19,48005,113.6256
20,48005,133.1946
21,48005,133.2606
22,48005,117.381
23,48005,125.0898
24,48005,87.6678
25,48005,81.4572
26,48005,86.4402
27,48005,76.9692
28,48005,69.5706
29,48005,76.88340000000001
30,48005,73.89359999999999
31,48005,62.977199999999975
32,48005,37.2438
33,48005,29.3238
34,48005,33.8118
35,48005,29.851799999999997
36,48005,26.5122
37,48005,26.9808
38,48005,30.7956
39,48005,33.0858
40,48005,30.7824
41,48005,36.4914
42,48005,45.4542
43,48005,68.47500000000001
44,48005,105.58679999999998
45,48005,88.7634
46,48005,93.2844
47,48005,85.074
48,48005,73.22699999999999
49,48005,75.174
50,48005,68.178
51,48005,65.6304
52,48005,59.9808
53,48005,56.0208
54,48005,44.0418
55,48005,24.0306
56,48005,14.381399999999973
57,48005,11.048399999999999
58,48005,11.318999999999974
59,48005,9.576600000000001
60,48005,5.412
61,48005,4.8312
62,48005,6.2634
63,48005,8.877
64,48005,10.454400000000001
65,48005,14.8698
66,48005,22.0836
67,48005,37.851
68,48005,63.8088
69,48005,95.2248
70,48005,101.5542
71,48005,98.2212
72,48005,69.6828
73,48005,63.2148
74,48005,66.4884
75,48005,68.0724
76,48005,59.5848
77,48005,51.7836
78,48005,44.114399999999996
79,48005,38.1084
80,48005,26.9148
81,48005,12.606
82,48005,9.0288
83,48005,11.4972
84,48005,10.6524
85,48005,11.048399999999999
86,48005,16.7772
87,48005,15.8664
88,48005,21.001199999999997
89,48005,21.252
90,48005,27.6144
91,48005,48.325199999999995
92,48005,57.2748
93,48005,70.4616
94,48005,69.9864
95,48005,73.9728
0,48007,110.208
1,48007,103.689
2,48007,107.625
3,48007,104.673
4,48007,108.978
5,48007,92.619
6,48007,85.485
7,48007,73.431
8,48007,86.592
9,48007,70.848
10,48007,49.815000000000005
11,48007,33.456
12,48007,45.633
13,48007,41.20499999999998
14,48007,50.184
15,48007,50.184
16,48007,55.473
17,48007,52.028999999999996
18,48007,62.607
19,48007,75.768
20,48007,103.935
21,48007,92.742
22,48007,92.988
23,48007,98.031
24,48007,89.544
25,48007,90.282
26,48007,86.469
27,48007,65.559
28,48007,75.276
29,48007,75.399
30,48007,70.23299999999999
31,48007,58.916999999999994
32,48007,45.633
33,48007,51.044999999999995
34,48007,52.397999999999996
35,48007,51.537
36,48007,59.532
37,48007,54.73499999999997
38,48007,56.702999999999975
39,48007,58.425
40,48007,74.292
41,48007,70.97099999999999
42,48007,69.00299999999999
43,48007,74.661
