location,value
48003,0.15
48005,0.4
48007,0.4
48009,0.15
48013,0.4
48015,0.4
48017,0.15
48019,0.4
48021,0.4
48023,0.15
48025,0.4
48029,0.4
48031,0.15
48033,0.15
48035,0.4
48037,0.15
48039,0.4
48041,0.4
48043,0.15
48045,0.15
48051,0.4
48053,0.15
48059,0.15
48063,0.15
48065,0.15
48069,0.15
48075,0.15
48079,0.15
48081,0.15
48083,0.15
48085,0.15
48087,0.15
48089,0.4
48091,0.4
48093,0.15
48095,0.15
48097,0.15
48099,0.4
48101,0.15
48103,0.15
48107,0.15
48109,0.15
48111,0.15
48117,0.15
48121,0.15
48123,0.4
48125,0.15
48127,0.4
48129,0.15
48133,0.15
48135,0.15
48139,0.15
48141,0.05
48143,0.15
48145,0.4
48151,0.15
48155,0.15
48157,0.4
48161,0.4
48163,0.4
48165,0.15
48167,0.4
48169,0.15
48171,0.15
48173,0.15
48175,0.4
48177,0.4
48183,0.15
48185,0.4
48187,0.15
48195,0.15
48205,0.15
48207,0.15
48209,0.4
48211,0.15
48215,0.15
48217,0.05
48219,0.15
48221,0.15
48229,0.15
48231,0.15
48233,0.15
48235,0.15
48237,0.15
48247,0.4
48249,0.4
48255,0.4
48257,0.15
48261,0.4
48265,0.15
48267,0.15
48269,0.15
48271,0.4
48273,0.4
48279,0.15
48281,0.15
48285,0.4
48295,0.15
48297,0.4
48299,0.15
48301,0.15
48303,0.15
48305,0.15
48307,0.15
48309,0.4
48311,0.4
48321,0.4
48323,0.4
48331,0.4
48333,0.15
48337,0.15
48345,0.15
48347,0.15
48349,0.15
48353,0.15
48355,0.4
48357,0.15
48363,0.15
48367,0.15
48369,0.15
48371,0.15
48377,0.15
48379,0.15
48381,0.15
48383,0.15
48385,0.4
48387,0.15
48389,0.15
48391,0.4
48393,0.15
48397,0.15
48399,0.15
48401,0.2
48403,0.4
48405,0.15
48407,0.4
48409,0.4
48411,0.15
48413,0.15
48415,0.15
48417,0.15
48425,0.15
48427,0.4
48431,0.15
48433,0.15
48435,0.15
48437,0.15
48439,0.15
48445,0.15
48447,0.15
48449,0.15
48451,0.15
48453,0.4
48455,0.0
48461,0.15
48463,0.4
48465,0.4
48467,0.15
48469,0.4
48473,0.4
48475,0.3
48479,0.4
48481,0.4
48485,0.15
48487,0.15
48489,0.4
48495,0.15
48501,0.15
48503,0.15
48505,0.4
48507,0.4
